CHEM,CHEMID,CASNUM,TODAY,INITIALS,USERID,CREATED,MODIFIED
"BETA-APO-8'-CAROTENE","BETAAPO8CAROTENE","","","","DUKE","10-DEC-97",""
"BETA-APO-8'-CAROTINAL","BETAAPO8CAROTINAL","","","","DUKE","10-DEC-97",""
"BETA-APO-CAROTEN-8-AL","BETAAPOCAROTEN8AL","","","","DUKE","10-DEC-97",""
"BETA-APOCAROTENOL","BETAAPOCAROTENOL","","","","DUKE","10-DEC-97",""
"BETA-ARTEANNUAN","BETAARTEANNUAN","","","","DUKE","10-DEC-97",""
"BETA-ASARONE","BETAASARONE","","","","DUKE","10-DEC-97",""
"BETA-ATLANTONE","BETAATLANTONE","","","","DUKE","10-DEC-97",""
"BETA-BARBALOIN","BETABARBALOIN","","","","DUKE","10-DEC-97",""
"BETA-BERGAMOTENE","BETABERGAMOTENE","","","","DUKE","10-DEC-97",""
"BETA,BETA-DIMETHYLACRYLSHIKONINE","BETABETADIMETHYLACRYLSHIKONINE","","","","DUKE","10-DEC-97",""
"BETA,BETA-PHENYLOXYPROPIONIC-ACID","BETABETAPHENYLOXYPROPIONICACID","","","","DUKE","10-DEC-97",""
"BETA-BETULENOL","BETABETULENOL","","","","DUKE","10-DEC-97",""
"BETA-BIPIPERIDYL","BETABIPIPERIDYL","","","","DUKE","10-DEC-97",""
"BETA-BISABOLENE","BETABISABOLENE","","","","DUKE","10-DEC-97",""
"BETA-BISABOLOL","BETABISABOLOL","","","","DUKE","10-DEC-97",""
"BETA-BOSWELLIC-ACID","BETABOSWELLICACID","","","","DUKE","10-DEC-97",""
"BETA-BOURBONENE","BETABOURBONENE","","","","DUKE","10-DEC-97",""
"BETA-BOURBORNENE","BETABOURBORNENE","","","","DUKE","10-DEC-97",""
"BETA-CADINENE","BETACADINENE","","","","DUKE","10-DEC-97",""
"BETA-CADINOL","BETACADINOL","","","","DUKE","10-DEC-97",""
"BETA-CALOTROPEOL","BETACALOTROPEOL","","","","DUKE","10-DEC-97",""
"BETA-CAR-3-ENE","BETACAR3ENE","","","","DUKE","10-DEC-97",""
"BETA-CARBOLIN-1-YL-4,8-DIMETHOXY-BETA-CARBOLIN-1-YL-ETHYL...","BETACARBOLIN1YL48DIMETHOXYBETACARBOLIN1YLETHYL","","","","DUKE","10-DEC-97",""
"BETA-CARBOLINE","BETACARBOLINE","","","","DUKE","10-DEC-97",""
"BETA-CARBOLINE-1-PROPIONIC-ACID","BETACARBOLINE1PROPIONICACID","","","","DUKE","10-DEC-97",""
"BETA-CARENE","BETACARENE","","","","DUKE","10-DEC-97",""
"BETA-CAROTENE","BETACAROTENE","","","","DUKE","10-DEC-97",""
"BETA-CAROTENE-5,6-MONOEPOXIDE","BETACAROTENE56MONOEPOXIDE","","","","DUKE","10-DEC-97",""
"BETA-CAROTENE-EPOXIDE","BETACAROTENEEPOXIDE","","","","DUKE","10-DEC-97",""
"BETA-CARYOPHYLLENE","BETACARYOPHYLLENE","","","","DUKE","10-DEC-97",""
"BETA-CARYOPHYLLENE-ALCOHOL","BETACARYOPHYLLENEALCOHOL","","","","DUKE","10-DEC-97",""
"BETA-CARYOPHYLLENE-EPOXIDE","BETACARYOPHYLLENEEPOXIDE","","","","DUKE","10-DEC-97","17-SEP-98"
"BETA-CARYOPHYLLENE-OXIDE","BETACARYOPHYLLENEOXIDE","","","","DUKE","10-DEC-97",""
"BETA-CATECHIN","BETACATECHIN","","","","DUKE","10-DEC-97",""
"BETA-CEDRENE","BETACEDRENE","","","","DUKE","10-DEC-97",""
"BETA-CHACONINE","BETACHACONINE","","","","DUKE","10-DEC-97",""
"BETA-CHAMIGRENE","BETACHAMIGRENE","","","","DUKE","10-DEC-97",""
"BETA-CHAMIGRENOL","BETACHAMIGRENOL","","","","DUKE","10-DEC-97",""
"BETA-CITRAL","BETACITRAL","","","","DUKE","10-DEC-97",""
"BETA-CITRAURIN","BETACITRAURIN","","","","DUKE","10-DEC-97",""
"BETA-COCAINE","BETACOCAINE","","","","DUKE","10-DEC-97",""
"BETA-COLUBRINE","BETACOLUBRINE","","","","DUKE","10-DEC-97",""
"BETA-COMMIPHORIC-ACID","BETACOMMIPHORICACID","","","","DUKE","10-DEC-97",""
"BETA-CONGLYCIN","BETACONGLYCIN","","","","DUKE","10-DEC-97",""
"BETA-COPAENE","BETACOPAENE","","","","DUKE","10-DEC-97",""
"BETA-COSTENE","BETACOSTENE","","","","DUKE","10-DEC-97",""
"BETA-CRYPTOFLAVIN","BETACRYPTOFLAVIN","","","","DUKE","10-DEC-97",""
"BETA-CRYPTOXANTHIN","BETACRYPTOXANTHIN","","","","DUKE","10-DEC-97",""
"BETA-CUBEBENE","BETACUBEBENE","","","","DUKE","10-DEC-97",""
"BETA-CUBEBINE","BETACUBEBINE","","","","DUKE","10-DEC-97",""
"BETA-CURCUMENE","BETACURCUMENE","","","","DUKE","10-DEC-97","17-SEP-98"
"BETA-CYANIN","BETACYANIN","","","","DUKE","10-DEC-97",""
"BETA-CYANOALANINE","BETACYANOALANINE","","","","DUKE","10-DEC-97",""
"BETA-CYCLOCITRAL","BETACYCLOCITRAL","","","","DUKE","10-DEC-97",""
"BETA-CYCLOORYSTENOL","BETACYCLOORYSTENOL","","","","DUKE","10-DEC-97",""
"BETA-CYCLOPYRETHROSIN","BETACYCLOPYRETHROSIN","","","","DUKE","10-DEC-97",""
"BETA-CYMENE","BETACYMENE","","","","DUKE","10-DEC-97",""
"BETA-CYMOL","BETACYMOL","","","","DUKE","10-DEC-97",""
"BETA-CYPERONE","BETACYPERONE","","","","DUKE","10-DEC-97",""
"BETA-D-1,6-DI-O-GALLOYLGLUCOSE","BETAD16DIOGALLOYLGLUCOSE","","","","DUKE","10-DEC-97",""
"BETA-DAMASCENONE","BETADAMASCENONE","","","","DUKE","10-DEC-97",""
"BETA-DAMASCONE","BETADAMASCONE","","","","DUKE","10-DEC-97",""
"BETA-D-DIGINOSIDE","BETADDIGINOSIDE","","","","DUKE","10-DEC-97",""
"BETA-D-GALACTOSE","BETADGALACTOSE","","","","DUKE","10-DEC-97",""
"BETA-D-GLUCOGALLIN","BETADGLUCOGALLIN","","","","DUKE","10-DEC-97",""
"BETA-D-GLUCOPYRANOSYL-PHASEIC-ACID","BETADGLUCOPYRANOSYLPHASEICACID","","","","DUKE","10-DEC-97",""
"BETA-DIHYDROPLUMERICIC-ACID","BETADIHYDROPLUMERICICACID","","","","DUKE","10-DEC-97",""
"BETA-DIHYDROPLUMERICINE","BETADIHYDROPLUMERICINE","","","","DUKE","10-DEC-97",""
"BETA-DIKETONE","BETADIKETONE","","","","DUKE","10-DEC-97",""
"BETA-DIKETONES","BETADIKETONES","","","","DUKE","10-DEC-97",""
"BETA-ECDYSONE","BETAECDYSONE","","","","DUKE","10-DEC-97",""
"BETA-ECDYSTERONE","BETAECDYSTERONE","","","","DUKE","10-DEC-97",""
"BETA-ELEMEN-7-ALPHA-OL","BETAELEMEN7ALPHAOL","","","","DUKE","10-DEC-97",""
"BETA-ELEMENE","BETAELEMENE","","","","DUKE","10-DEC-97",""
"BETA-ERYTHROIDINE","BETAERYTHROIDINE","","","","DUKE","10-DEC-97",""
"BETA-ESCIN","BETAESCIN","","","","DUKE","10-DEC-97",""
"BETA-EUDESMOL","BETAEUDESMOL","","","","DUKE","10-DEC-97",""
"BETA-FAGARINE","BETAFAGARINE","","","","DUKE","10-DEC-97",""
"BETA-FARNESENE","BETAFARNESENE","","","","DUKE","10-DEC-97",""
"BETA-FENCHENE","BETAFENCHENE","","","","DUKE","10-DEC-97",""
"BETA-GALACTAN","BETAGALACTAN","","","","DUKE","10-DEC-97",""
"BETA-GALACTOSIDASE","BETAGALACTOSIDASE","","","","DUKE","10-DEC-97",""
"BETA-GAMMA-HEXENOL","BETAGAMMAHEXENOL","","","","DUKE","10-DEC-97",""
"BETA-GERANIOL","BETAGERANIOL","","","","DUKE","10-DEC-97",""
"BETA-GLOBULIN","BETAGLOBULIN","","","","DUKE","10-DEC-97",""
"BETA-GLUCOGALLIN","BETAGLUCOGALLIN","","","","DUKE","10-DEC-97",""
"BETA-GLUCOSIDASE","BETAGLUCOSIDASE","","","","DUKE","10-DEC-97",""
"BETA-GLUCURONIDASE","BETAGLUCURONIDASE","","","","DUKE","10-DEC-97",""
"BETA-GLYCOSIDASE","BETAGLYCOSIDASE","","","","DUKE","10-DEC-97",""
"BETA-GUAIENE","BETAGUAIENE","","","","DUKE","10-DEC-97",""
"BETA-GURJUENE","BETAGURJUENE","","","","DUKE","10-DEC-97",""
"BETA-GURJUNENE","BETAGURJUNENE","","","","DUKE","10-DEC-97",""
"BETA-GUTTIFERIN","BETAGUTTIFERIN","","","","DUKE","10-DEC-97",""
"BETA-HEDERIN","BETAHEDERIN","","","","DUKE","10-DEC-97",""
"BETA-HEERABOMYRRHOL","BETAHEERABOMYRRHOL","","","","DUKE","10-DEC-97",""
"BETA-HEXANAL","BETAHEXANAL","","","","DUKE","10-DEC-97",""
"BETA-HEXENOL","BETAHEXENOL","","","","DUKE","10-DEC-97",""
"BETA-HEXYLALDEHYDE","BETAHEXYLALDEHYDE","","","","DUKE","10-DEC-97",""
"BETA-HIMACHALENE","BETAHIMACHALENE","","","","DUKE","10-DEC-97",""
"BETA-HIMACHALINE","BETAHIMACHALINE","","","","DUKE","10-DEC-97",""
"BETA-HOMOCHELIDONINE","BETAHOMOCHELIDONINE","","","","DUKE","10-DEC-97",""
"BETA-HUMULENE","BETAHUMULENE","","","","DUKE","10-DEC-97",""
"BETA-HYDROXY-BETA-METHYL-GLUTARIC-ACID","BETAHYDROXYBETAMETHYLGLUTARICACID","","","","DUKE","10-DEC-97",""
"BETA-HYDROXY-BETA-METHYL-GLUTARIC-ACID-MONOMETHYLESTER","BETAHYDROXYBETAMETHYLGLUTARICACIDMONOMETHYLESTER","","","","DUKE","10-DEC-97",""
"BETA-HYDROXYBUTYRIC-ACID","BETAHYDROXYBUTYRICACID","","","","DUKE","10-DEC-97",""
"BETA-HYDROXY-KETO-BUTYRIC-ACID","BETAHYDROXYKETOBUTYRICACID","","","","DUKE","10-DEC-97",""
"BETA-INDOLACETIC-ACID","BETAINDOLACETICACID","","","","DUKE","10-DEC-97",""
"BETA-INDOLEACETIC-ACID","BETAINDOLEACETICACID","","","","DUKE","10-DEC-97",""
"BETA-INDOLETHYLAMINE","BETAINDOLETHYLAMINE","","","","DUKE","10-DEC-97",""
"BETAINE","BETAINE","","","","DUKE","10-DEC-97",""
"BETA-IONENE","BETAIONENE","","","","DUKE","10-DEC-97",""
"BETA-IONONE","BETAIONONE","","","","DUKE","10-DEC-97",""
"BETA-IRONE","BETAIRONE","","","","DUKE","10-DEC-97",""
"BETA-ISOMETHYLIONONE","BETAISOMETHYLIONONE","","","","DUKE","10-DEC-97",""
"BETA-ISOVETISPIRENE","BETAISOVETISPIRENE","","","","DUKE","10-DEC-97",""
"BETA-KOSIN","BETAKOSIN","","","","DUKE","10-DEC-97",""
"BETA-LACTUCEROL","BETALACTUCEROL","","","","DUKE","10-DEC-97",""
"BETA-LAPACHONE","BETALAPACHONE","","","","DUKE","10-DEC-97",""
"BETA-LECTINS","BETALECTINS","","","","DUKE","10-DEC-97",""
"BETA-LIMONENE-1,2-OXIDE","BETALIMONENE12OXIDE","","","","DUKE","10-DEC-97",""
"BETA-LINOLEIC-ACID","BETALINOLEICACID","","","","DUKE","10-DEC-97",""
"BETA-LINOLENIC-ACID","BETALINOLENICACID","","","","DUKE","10-DEC-97",""
"BETA-LONGIFOLENE","BETALONGIFOLENE","","","","DUKE","10-DEC-97",""
"BETA-LUMICOLCHICINE","BETALUMICOLCHICINE","","","","DUKE","10-DEC-97",""
"BETA-LUMICOLCHICONE","BETALUMICOLCHICONE","","","","DUKE","10-DEC-97",""
"BETA-MAALIENE","BETAMAALIENE","","","","DUKE","10-DEC-97",""
"BETA-MALTOSE","BETAMALTOSE","","","","DUKE","10-DEC-97",""
"BETA-MANNANAN","BETAMANNANAN","","","","DUKE","10-DEC-97",""
"BETA-METACOPAIBIC-ACID","BETAMETACOPAIBICACID","","","","DUKE","10-DEC-97",""
"BETA-METHYL-ADIPIC-ACID","BETAMETHYLADIPICACID","","","","DUKE","10-DEC-97",""
"BETA-METHYLANTHRAQUINONE","BETAMETHYLANTHRAQUINONE","","","","DUKE","10-DEC-97",""
"BETA-METHYL-DELTA-ISOBUTYLVALERIC-ACID","BETAMETHYLDELTAISOBUTYLVALERICACID","","","","DUKE","10-DEC-97",""
"BETA-METHYL-THIOPROPIONIC-ACID-ETHYL-ESTER","BETAMETHYLTHIOPROPIONICACIDETHYLESTER","","","","DUKE","10-DEC-97",""
"BETA-METHYL-THIOPROPIONIC-ACID-METHYL-ESTER","BETAMETHYLTHIOPROPIONICACIDMETHYLESTER","","","","DUKE","10-DEC-97",""
"BETA-METHYL-VALERIC-ACID","BETAMETHYLVALERICACID","","","","DUKE","10-DEC-97",""
"BETA-MOMORCHARIN","BETAMOMORCHARIN","","","","DUKE","10-DEC-97",""
"BETA-MUUROLENE","BETAMUUROLENE","","","","DUKE","10-DEC-97",""
"BETA-MYRCENE","BETAMYRCENE","","","","DUKE","10-DEC-97",""
"BETA-NEOCAROTENE","BETANEOCAROTENE","","","","DUKE","10-DEC-97",""
"BETA-NEOCLOVENE","BETANEOCLOVENE","","","","DUKE","10-DEC-97",""
"BETANIDINE","BETANIDINE","","","","DUKE","10-DEC-97",""
"BETANIN","BETANIN","","","","DUKE","10-DEC-97",""
"BETANINE","BETANINE","","","","DUKE","10-DEC-97",""
"BETA-NITROPROPIONIC-ACID","BETANITROPROPIONICACID","","","","DUKE","10-DEC-97",""
"BETA-OBSCURINE","BETAOBSCURINE","","","","DUKE","10-DEC-97",""
"BETA-OCIMENE","BETAOCIMENE","","","","DUKE","10-DEC-97",""
"BETA-OLEANOLIC-ACID","BETAOLEANOLICACID","","","","DUKE","10-DEC-97",""
"BETA-PANASINSENE","BETAPANASINSENE","","","","DUKE","10-DEC-97",""
"BETA-PANAX-RESIN","BETAPANAXRESIN","","","","DUKE","10-DEC-97",""
"BETA-PATCHOULENE","BETAPATCHOULENE","","","","DUKE","10-DEC-97",""
"BETA-PELTATIN","BETAPELTATIN","","","","DUKE","10-DEC-97",""
"BETA-PELTATIN-A-METHYL-ETHER","BETAPELTATINAMETHYLETHER","","","","DUKE","10-DEC-97",""
"BETA-PELTATIN-GLUCOSIDE","BETAPELTATINGLUCOSIDE","","","","DUKE","10-DEC-97",""
"BETA-PHELLANDRENE","BETAPHELLANDRENE","","","","DUKE","10-DEC-97",""
"BETA-PHENETHYLACETATE","BETAPHENETHYLACETATE","","","","DUKE","10-DEC-97",""
"BETA-PHENETHYL-ALCOHOL","BETAPHENETHYLALCOHOL","","","","DUKE","10-DEC-97",""
"BETA-PHENETHYLAMINE","BETAPHENETHYLAMINE","","","","DUKE","10-DEC-97",""
"BETA-PHENETHYL-BUTYRATE","BETAPHENETHYLBUTYRATE","","","","DUKE","10-DEC-97",""
"BETA-PHENETHYL-ISOBUTYRATE","BETAPHENETHYLISOBUTYRATE","","","","DUKE","10-DEC-97",""
"BETA-PHENETHYL-ISOVALERATE","BETAPHENETHYLISOVALERATE","","","","DUKE","10-DEC-97",""
"BETA-PHENETHYL-METHYL-BUTYRATE","BETAPHENETHYLMETHYLBUTYRATE","","","","DUKE","10-DEC-97",""
"BETA-PHENETHYL-METHYL-ETHER","BETAPHENETHYLMETHYLETHER","","","","DUKE","10-DEC-97",""
"BETA-PHENYLACETATE","BETAPHENYLACETATE","","","","DUKE","10-DEC-97",""
"BETA-PHENYLETHANOL","BETAPHENYLETHANOL","","","","DUKE","10-DEC-97",""
"BETA-PHENYLETHANOL-6-BETA-D-ARABINOFURANOSYL-BETA-D-GLUCOPYRANOSIDE","BETAPHENYLETHANOL6BETADARABINOFURANOSYLBETADGLUCOPYRANOSIDE","","","","DUKE","10-DEC-97",""
"BETA-PHENYLETHANOL-BETA-D-GLUCOSIDE","BETAPHENYLETHANOLBETADGLUCOSIDE","","","","DUKE","10-DEC-97",""
"BETA-PHENYLETHANOL-BETA-D-RUTINOSIDE","BETAPHENYLETHANOLBETADRUTINOSIDE","","","","DUKE","10-DEC-97",""
"BETA-PHENYLETHYLALCOHOL","BETAPHENYLETHYLALCOHOL","","","","DUKE","10-DEC-97",""
"BETA-PHENYLETHYLAMINE","BETAPHENYLETHYLAMINE","","","","DUKE","10-DEC-97",""
"BETA-PINENE","BETAPINENE","","","","DUKE","10-DEC-97",""
"BETA-PINONE","BETAPINONE","","","","DUKE","10-DEC-97",""
"BETA-PYRAZOL-1-YL-ALANINE","BETAPYRAZOL1YLALANINE","","","","DUKE","10-DEC-97",""
"BETA-PYRUFURAN","BETAPYRUFURAN","","","","DUKE","10-DEC-97",""
"BETA-RESERCYCLIC-ACID","BETARESERCYCLICACID","","","","DUKE","10-DEC-97",""
"BETA-RESINIC-ACID","BETARESINICACID","","","","DUKE","10-DEC-97",""
"BETA-RESORCYLALDEHYDE","BETARESORCYLALDEHYDE","","","","DUKE","10-DEC-97",""
"BETA-RESORCYLATE","BETARESORCYLATE","","","","DUKE","10-DEC-97",""
"BETA-ROTUNOL","BETAROTUNOL","","","","DUKE","10-DEC-97",""
"BETA-SANTALENE","BETASANTALENE","","","","DUKE","10-DEC-97",""
"BETA-SANTALIC-ACID","BETASANTALICACID","","","","DUKE","10-DEC-97",""
"BETA-SANTALOL","BETASANTALOL","","","","DUKE","10-DEC-97",""
"BETA-SELINENE","BETASELINENE","","","","DUKE","10-DEC-97",""
"BETA-SELINENE-EPOXIDE-I","BETASELINENEEPOXIDEI","","","","DUKE","10-DEC-97",""
"BETA-SELINENENE","BETASELINENENE","","","","DUKE","10-DEC-97",""
"BETA-SELININE","BETASELININE","","","","DUKE","10-DEC-97",""
"BETA-SELININE-HYDROPEROXIDE","BETASELININEHYDROPEROXIDE","","","","DUKE","10-DEC-97",""
"BETA-SESQUIPHELLANDRENE","BETASESQUIPHELLANDRENE","","","","DUKE","10-DEC-97",""
"BETA-SINESAL","BETASINESAL","","","","DUKE","10-DEC-97",""
"BETA-SITOSTENONE","BETASITOSTENONE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTEROL","BETASITOSTEROL","","","","DUKE","10-DEC-97",""
"BETA-SITOSTEROL-3-BETA-D-GLUCOSIDE","BETASITOSTEROL3BETADGLUCOSIDE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTEROL-3-O-BETA-D-GLUCOSIDE","BETASITOSTEROL3OBETADGLUCOSIDE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTEROL-3-O-GLUCOSIDE","BETASITOSTEROL3OGLUCOSIDE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTEROL-ACETATE","BETASITOSTEROLACETATE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTEROL-ALPHA-GLUCOSIDE","BETASITOSTEROLALPHAGLUCOSIDE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTEROL-BETA-D-GALACTOPYRANOSIDE","BETASITOSTEROLBETADGALACTOPYRANOSIDE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTEROL-BETA-D-GALACTOSIDE","BETASITOSTEROLBETADGALACTOSIDE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTEROL-BETA-D-GLUCOSIDE","BETASITOSTEROLBETADGLUCOSIDE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTEROL-BETA-GLUCOSIDE","BETASITOSTEROLBETAGLUCOSIDE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTEROL-D-GLUCOSIDE","BETASITOSTEROLDGLUCOSIDE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTEROL-D-GLYCOSIDE","BETASITOSTEROLDGLYCOSIDE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTEROL-GLUCOSIDE","BETASITOSTEROLGLUCOSIDE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTEROL-GLYCOSIDE","BETASITOSTEROLGLYCOSIDE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTEROL-PALMITATE","BETASITOSTEROLPALMITATE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTEROL-STEARATE","BETASITOSTEROLSTEARATE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTERONE","BETASITOSTERONE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTERYL-ARACHINATE","BETASITOSTERYLARACHINATE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTERYL-BENZOATE","BETASITOSTERYLBENZOATE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTERYL-BETA-D-GLUCOSIDE","BETASITOSTERYLBETADGLUCOSIDE","","","","DUKE","10-DEC-97",""
"BETA-SITOSTERYL-GLUCOSIDE","BETASITOSTERYLGLUCOSIDE","","","","DUKE","10-DEC-97",""
"BETA-SOLADULCINE","BETASOLADULCINE","","","","DUKE","10-DEC-97",""
"BETA-SOLAMARGINE","BETASOLAMARGINE","","","","DUKE","10-DEC-97",""
"BETA-SOLAMARINE","BETASOLAMARINE","","","","DUKE","10-DEC-97",""
"BETA-SPATHULENE","BETASPATHULENE","","","","DUKE","10-DEC-97",""
"BETA-STORESIN","BETASTORESIN","","","","DUKE","10-DEC-97",""
"BETA-TERPINENE","BETATERPINENE","","","","DUKE","10-DEC-97",""
"BETA-TERPINEOL","BETATERPINEOL","","","","DUKE","10-DEC-97",""
"BETA-THEOSTEROL","BETATHEOSTEROL","","","","DUKE","10-DEC-97",""
"BETA-THUJAPLICIN","BETATHUJAPLICIN","","","","DUKE","10-DEC-97",""
"BETA-THUJENE","BETATHUJENE","","","","DUKE","10-DEC-97",""
"BETA-THUJONE","BETATHUJONE","","","","DUKE","10-DEC-97",""
"BETA-THUJYL-ALCOHOL","BETATHUJYLALCOHOL","","","","DUKE","10-DEC-97",""
"BETA-TOCOPHEROL","BETATOCOPHEROL","","","","DUKE","10-DEC-97",""
"BETA-TRANS-FARNESENE","BETATRANSFARNESENE","","","","DUKE","10-DEC-97",""
"BETA-TRICHOSANTHIN","BETATRICHOSANTHIN","","","","DUKE","10-DEC-97",""
"BETA-TRITISTEROL","BETATRITISTEROL","","","","DUKE","10-DEC-97",""
"BETA-TRUXILLINE","BETATRUXILLINE","","","","DUKE","10-DEC-97",""
"BETA-TRUXINIC-ACID","BETATRUXINICACID","","","","DUKE","10-DEC-97",""
"BETA-URSOLIC-ACID","BETAURSOLICACID","","","","DUKE","10-DEC-97",""
"BETA-VALENE","BETAVALENE","","","","DUKE","10-DEC-97",""
"BETA-VETINONE","BETAVETINONE","","","","DUKE","10-DEC-97",""
"BETA-VETISPIRINE","BETAVETISPIRINE","","","","DUKE","10-DEC-97",""
"BETA-VETIVENE","BETAVETIVENE","","","","DUKE","10-DEC-97",""
"BETA-VETIVENENE","BETAVETIVENENE","","","","DUKE","10-DEC-97",""
"BETA-VETIVONE","BETAVETIVONE","","","","DUKE","10-DEC-97",""
"BETAXANTHIN","BETAXANTHIN","","","","DUKE","10-DEC-97",""
"BETA-YLANGENE","BETAYLANGENE","","","","DUKE","10-DEC-97",""
"BETA-YOHIMBINE","BETAYOHIMBINE","","","","DUKE","10-DEC-97",""
"BETA-ZEACAROTENE","BETAZEACAROTENE","","","","DUKE","10-DEC-97",""
"BETA-ZEIN","BETAZEIN","","","","DUKE","10-DEC-97",""
"BETA-ZINGIBERENE","BETAZINGIBERENE","","","","DUKE","10-DEC-97",""
"BETONICIN","BETONICIN","","","","DUKE","10-DEC-97",""
"BETONICINE","BETONICINE","","","","DUKE","10-DEC-97",""
"BETULAPRENOLS","BETULAPRENOLS","","","","DUKE","10-DEC-97",""
"BETULETOL","BETULETOL","","","","DUKE","10-DEC-97",""
"BETULIC-ACID","BETULICACID","","","","DUKE","10-DEC-97",""
"BETULIN","BETULIN","","","","DUKE","10-DEC-97",""
"BETULINIC-ACID","BETULINICACID","","","","DUKE","10-DEC-97",""
"BETULINIC-ACID-3-O-MALTOSIDE","BETULINICACID3OMALTOSIDE","","","","DUKE","10-DEC-97",""
"BETULOL","BETULOL","","","","DUKE","10-DEC-97",""
"BETULONIC-ACID","BETULONICACID","","","","DUKE","10-DEC-97",""
"BETULOSIDE","BETULOSIDE","","","","DUKE","10-DEC-97",""
"BHARATPUROL-I","BHARATPUROLI","","","","DUKE","10-DEC-97",""
"BHARATPUROL-II","BHARATPUROLII","","","","DUKE","10-DEC-97",""
"B-HEMICELLULOSE","BHEMICELLULOSE","","","","DUKE","10-DEC-97",""
"BHILAWANOL","BHILAWANOL","","","","DUKE","10-DEC-97",""
"BIACETYL","BIACETYL","","","","DUKE","10-DEC-97",""
"BIANTHRAQUINONE","BIANTHRAQUINONE","","","","DUKE","10-DEC-97",""
"BICUCINE","BICUCINE","","","","DUKE","10-DEC-97",""
"BICUCULLINE","BICUCULLINE","","","","DUKE","10-DEC-97",""
"BICYCLODECENONE","BICYCLODECENONE","","","","DUKE","10-DEC-97",""
"BICYCLOELEMENE","BICYCLOELEMENE","","","","DUKE","10-DEC-97",""
"BICYCLOGERMACRENE","BICYCLOGERMACRENE","","","","DUKE","10-DEC-97",""
"BICYCLOSESQUIPHELLANDRENE","BICYCLOSESQUIPHELLANDRENE","","","","DUKE","10-DEC-97",""
"BIFLAVANONE-GB1","BIFLAVANONEGB1","","","","DUKE","10-DEC-97",""
"BIFLORINE","BIFLORINE","","","","DUKE","10-DEC-97",""
"BILOBALIDE","BILOBALIDE","","","","DUKE","10-DEC-97",""
"BILOBANONE","BILOBANONE","","","","DUKE","10-DEC-97",""
"BILOBETIN","BILOBETIN","","","","DUKE","10-DEC-97",""
"BILOBOL","BILOBOL","","","","DUKE","10-DEC-97",""
"BIMETHYLAMINE","BIMETHYLAMINE","","","","DUKE","10-DEC-97",""
"BIOCHANIN","BIOCHANIN","","","","DUKE","10-DEC-97",""
"BIOCHANIN-A","BIOCHANINA","","","","DUKE","10-DEC-97",""
"BIOCHANIN-A-7-BETA-D-GENTIOBIOSIDE","BIOCHANINA7BETADGENTIOBIOSIDE","","","","DUKE","10-DEC-97",""
"BIOCHANIN-A-7-(BETA-D-XYLOSYL{1-6}-BETA-D-GLUCOSIDE)","BIOCHANINA7BETADXYLOSYL16BETADGLUCOSIDE","","","","DUKE","10-DEC-97",""
"BIOCHANIN-A-7-O-RHAMNOGLUCOSIDE","BIOCHANINA7ORHAMNOGLUCOSIDE","","","","DUKE","10-DEC-97",""
"BIOCHANIN-C","BIOCHANINC","","","","DUKE","10-DEC-97",""
"BIOQUERCETIN","BIOQUERCETIN","","","","DUKE","10-DEC-97",""
"BIOSIDE","BIOSIDE","","","","DUKE","10-DEC-97",""
"BIOTIN","BIOTIN","","","","DUKE","10-DEC-97",""
"BIPENDOGENIN","BIPENDOGENIN","","","","DUKE","10-DEC-97",""
"BIPHENYL","BIPHENYL","","","","DUKE","10-DEC-97",""
"BIPINDOSIDE","BIPINDOSIDE","","","","DUKE","10-DEC-97",""
"BIS-(4-HYDROXYBANZYL)-ETHER","BIS4HYDROXYBANZYLETHER","","","","DUKE","10-DEC-97",""
"BISABOLANGELONE","BISABOLANGELONE","","","","DUKE","10-DEC-97",""
"BISABOLENE","BISABOLENE","","","","DUKE","10-DEC-97",""
"BISABOLENEOXIDE","BISABOLENEOXIDE","","","","DUKE","10-DEC-97",""
"BISABOLOL","BISABOLOL","","","","DUKE","10-DEC-97",""
"BISABOLOXIDE","BISABOLOXIDE","","","","DUKE","10-DEC-97",""
"BISCATECHIN","BISCATECHIN","","","","DUKE","10-DEC-97",""
"BIS-DESMETHOXYCURCUMIN","BISDESMETHOXYCURCUMIN","","","","DUKE","10-DEC-97",""
