REFERENCE,LONGREF,NOTE,USERID,CREATED,MODIFIED
JEO6:207,"Baser, K.H.C. and Koyunku. 1994. Composition of the Essential Oils of Two Varieties of Thymus longicaulis C. Presl subsp. chaubardii (Boiss. et Heldr. ex Reichb. fil.) Jalas. J. Ess. Oil Res. 6: 207-9.",,DUKE,10-Dec-97,
JEO6:27,"Collins, J.E., Bishop, C.D., Deans, S.G. and Svoboda, K.P. 1994. Composition of the Essential Oil from the Leaves and Flowers of Monarda citriodora var. citriodora grown in the United Kingdom. J. Ess. Oil Res. 6: 27-9.",,DUKE,10-Dec-97,
JEO6:79,"Tucker, A.O. & Maciarello, M.J. 1994. The Essential Oil of Salvia dorisiana Standley. J. Ess. Oil Res. 6: 97-8.",,DUKE,10-Dec-97,
JEO6:93,"Buchbauer, G., Jirowetz, L. Wasicky, M. and Nikiforov, A. 1994.  Volatiles of Common Horsechestnut (Aesculus hippocastanum L.)(Hippocastanaceae) Blossoms. J. Ess.  Oil Res. 6:93-5",{<0.1 = Trace},DUKE,10-Dec-97,
JEO6:97,"Tumen, G., Koyuncu, M., Kirimer, N., and Baser, K.H.C. 1994. Composition of the Essential Oil of Thymus cilicicus Boiss. & Bal. J. Ess. Oil Res. 6: 97-8.",Trace recorded as <0.1,DUKE,10-Dec-97,
JEO7:271,J. Ess. Oil Res. 7: 271.,,DUKE,10-Dec-97,
JEO:459,"Brophy, J.J., Goldsack, R.J., and Clarkson, J.R. 1993. The Essential Oil of Ocimum tenuiflorum L. (Lamiaceae) Growing in Northern Australia, J. Ess. Oil Res. 5: 459-461.",,DUKE,10-Dec-97,
JER,J. Entom. Res. (v 17=1993),,DUKE,10-Dec-97,
JETB,J.Econ. Tax. Bot.,,DUKE,10-Dec-97,31-Mar-03
JFH,J. Food Hyg. Soc. Jap. 332(6)569=1992),,DUKE,10-Dec-97,
JFH33(6):569,J. Food Hyg. Soc. Jap. 33(6): 569.,,DUKE,10-Dec-97,
JFM,"Morton, J.F., Major Medicinal Plants. 1977. Atlas of Medicinal Plants of Middle America. Bahamas to Yucatan. 1981.",,DUKE,10-Dec-97,
JFS,J. Food Science,,DUKE,10-Dec-97,
JIM127:546,Jim Duke's personal files.,,DUKE,10-Dec-97,
JJC,J. Jpn. Soc. Food Sci Techn. (40-1993),,DUKE,10-Dec-97,
JJP,Jap. J. Pharmacology (Vol. 66=1994),,DUKE,10-Dec-97,
JJP66:47,"Jap. J. Pharmacology, 66: 47.",,DUKE,10-Dec-97,
JJS40:138,"Jap. J. Pharmacology, 40: 138.",,DUKE,10-Dec-97,28-Apr-00
JJT,Japanese J. Toxicology and Environmental Health (Vol. 39=1993).,,DUKE,10-Dec-97,
JLB,J. Leukocyte Biology (Vol. 56=1994).,,DUKE,10-Dec-97,
JLR,J. Longevity Research Vol. 1(2):1994.,,DUKE,10-Dec-97,
JLS58:156,Jim Duke's personal files.,,DUKE,10-Dec-97,
JNM1:10,Jim Duke's personal files.,,DUKE,10-Dec-97,
JNP,J. Nat. Prod. ,,DUKE,10-Dec-97,
JNP39:420,"Farnsworth, N.R. and Cordell, G.A. A Review of Some Biologically Active Compounds Isolated From Plants as Reported in the 1974-1975 Literature. J. Nat. Prod. 39: 420, 1976.",,DUKE,10-Dec-97,
JNP44:308,J. Nat. Prod. 44: 308.,,DUKE,10-Dec-97,
JNP45:725,"Bedows, E. and Hatfield, G.M. An Investigation of the Antiviral Activity of Podophyllum peltatum. J. Nat. Prod. 45: 725.",,DUKE,10-Dec-97,
JNP46(5),J. Nat. Prod. 46(5).,,DUKE,10-Dec-97,
JNP49:156,"Wolf, R.B. Effects Of p-Methoxycinnamaldehyde From Star Anise And Related Cinnamic Acid Derivatives On Velvetleaf Germination. Journal of Natural Products, 49(1): 156-158, 1986.",,DUKE,10-Dec-97,
JNP49:941.1986,"Misra, L.N. and Singh, S.P. Alpha-Thujone, The Major Component Of The Essential Oil From Artemisia vulgaris Growing Wild In Nilgiri Hills. Journal of Natural Products, 49: 941, 1986.",,DUKE,10-Dec-97,
JNP50:1017,J. Nat. Prod. 50: 1017.,,DUKE,10-Dec-97,
JNP50:313.1987,"Barberan, F.A.T., Manez, S., and Villar*, A. Identification Of Antiinflammatory Agents From Sideritis Species Growing In Spain. Journal of Natural Products, 50: 313, 1987.",,DUKE,10-Dec-97,
JNP51:357,"Ueno, H., Horie, S., et al. Chemical And Pharmaceutical Studies On Medicinal Plants In Paraguay. Geraniin, An Angiotensin-Converting Enzyme Inhibitor From 'Paraparai Mi,' Phyllanthus niruri. J. of Natural Products, 51(2): 357-359, 1988.",,DUKE,10-Dec-97,
JNP53(2):513,"Lin,* C-N., Lu, C-M., Cheng, M-K., Gan, K-H. The Cytotoxic Principles Of Solanum incanum. Journal of Natural Products, 53(2): 513-516, 1990.",,DUKE,10-Dec-97,
JNP53(5):1239,"Nakane, H., Fukushima, M., and Ono*, K. Differential Inhibition Of Reverse Transcriptase And Various DNA Polymerases By Digallic Acid And Its Derivatives. Journal of Natural Products, 53(5): 1234-1240, 1990.",,DUKE,10-Dec-97,
JNP53:456,"Pettit,* G.R., Numata, A., Takemura, T., Ode, R.H., Narula, A.S., Schmidt, J.M., Cragg, G.M., and Pase, C.P. Antineoplastic Agents, 107. Isolation Of Actetoside And Isoacteoside From Castilleja linariaefolia. J. of Natural Products, 53(2): 456-458, 1990.",,DUKE,10-Dec-97,
JNP54:142,"Garcia, J., Morin,* C., Nyasse, B., Sondengam, B-L., Tchouankeu, J-C., and Tsamo, E. Complete Structural Assignments Of An Ergosterol Derivative From Entandrophragma utile. Journal of Natural Products, 54(1): 136-142, 1991.",,DUKE,10-Dec-97,
JNP54:152,"Tan, G.T., Pezzuto, J.M., Kinghorn,* A.D., Hughes, S.H. Evaluation Of Natural Products As Inhibitors Of Human Immunodeficiency Virus Type 1 (HIV-1) Reverse Transcriptase. Journal of Natural Products, 54(1): 143-154, 1991.",,DUKE,10-Dec-97,
JNP54:1583,"Shimomura,* K., Kitazawa, T., Okamura, N., and Yagi, A. Tanshinone Production In Adventitious Roots And Regenerates Of Salvia miltiorrhiza. Journal of Natural Products, 54(6): 1583-1587, 1991.",,DUKE,10-Dec-97,
JNP54:218,"Choi, J.S., Yokozawa,* T., and Oura, H. Antihyperlipidemic Effect Of Flavonoids From Prunus davidiana. Journal of Natural Products, 54(1): 218-224, 1991.",,DUKE,10-Dec-97,
JNP54:455,"Aquino, R., De Feo, V., De Simone, F., Pizza, C.*, and Cirino, G. Plant Metabolites. New Compounds And Anti-Inflammatory Activity Of Uncaria tomentosa. Journal of Natural Products, 54(2): 453-459, 1991.",,DUKE,10-Dec-97,
JNP54:483,"Kouzi, S.A., and McChesney*, J.D. Microbial Models Of Mammalian Metabolism: Fungal Metabolism Of The Diterpene Sclareol By Cunninghamella Species. Journal of Natural Products, 54(2): 483-490, 1991.",,DUKE,10-Dec-97,
JNP54:900,"Arisawa, M., Hayashi, T., Shimizu, M., Morita, N., Bai, H., Kuze, S., and Ito, Y. Isolation And Cytotoxicity Of Two New Flavonoids From Chrysosplenium grayanum And Related Flavonols. J. Natural Products, 54(3): 898-901, 1991.",,DUKE,10-Dec-97,
JNP55:1732,"Amoros, M., Simoes, C.M.O., Girre, L., et al. Synergistic Effect Of Flavones And Flavonols Against Herpes Simplex Virus Type 1 In Cell Culture. Comparison With The Antiviral Activity Of Propolis. J. of Natural Products 55(12):1732-1740, 1992.",,DUKE,10-Dec-97,
JNP55:999,"Zheng, G-Q., Kenney, P.M., and Lam, L.K.T. Sesquiterpenes From Clove (Eugenia caryophyllata) As Potential Anticarcinogenic Agents. Journal of Natural Products 55(7): 999-1003, 1992.",,DUKE,10-Dec-97,
JNP56:1426,J. Nat. Prod. 56: 1426.,,DUKE,10-Dec-97,
JNP56:935,"Bowers, W.S., Ortego, F., You, X., and Evans, P.H. Insect Repellents From The Chinese Prickly Ash Zanthoxylum bungeanum. Journal of Natural Products, 56(6): 935-938, 1993.",,DUKE,10-Dec-97,
JNP57:243,"Fujioka, T., Kashiwada, Y., et al. Anti-AIDS Agents 11. Betulinic Acid and Platanic Acid as Anti-HIV Principles From Syzigium claviflorum, and the Anti-HIV Activity of Structurally Related Triterpenoids. Journal of Natural Products, 57(2): 243-247, 1994.",,DUKE,10-Dec-97,
JNP57:658,"Denyer, C.V., Jackson, P., Loakes, D.M., Ellis, M.R., and Yound, D.A.B. Isolation of Antirhinoviral Sesquiterpenes From Ginger (Zingiber officinale). Journal of Natural Products, 57(5): 658-662, 1994.",,DUKE,10-Dec-97,
JOC,J Org Chem. (Vol. 58=1993).,,DUKE,10-Dec-97,19-Apr-00
JON,Journal Optimal Nutrition,,DUKE,10-Dec-97,
JOP,J. Ocular Pharmacol. (Vol. 10=1994),,DUKE,10-Dec-97,
JPP,J. Pharmacy & Pharmacology to do 41(1-12)1990. (RS 11 J6 6th floor),,DUKE,10-Dec-97,29-Apr-00
JPP42:194,"Gawron, A., Gorski*, G., Glowniak**, K. 1989. Increased proliferation of phytohaemagglutinin (PHA)-stimulated human leucocytes after 8-methoxypsoralen treatment. J. Pharm. Pharmacol. 42: 194-195, 1990.",,DUKE,10-Dec-97,
JPP42:205,"O'Connell, M.J., Webster, N.R. 1989. Hyperoxia and salicylate metabolism in rats. J. Pharm. Pharmacol. 42: 205-206, 1990.",,DUKE,10-Dec-97,
JPP42:295,"Ortiz De Urbina, A.V., Martin, M.L., Montero, M.J., Carron, R., Sevilla, M.A., San Roman, L. 1989. Antihistaminic activity of pulegone on the guinea-pig ileum. J. Pharm. Pharmacol. 42: 295-296, 1990.",,DUKE,10-Dec-97,
JPP42:652,"Eccles, R., et al. 1989. The effects of oral administration of (-)-menthol on nasal resistance to airflow and nasal sensation of airflow in subjects suffering from nasal congestion associated with the common cold. J. Pharm. Pharmacol. 42: 652-654, 1990.",,DUKE,10-Dec-97,
JPP42:655,"Fujita, T., Nakatani, E., Funaishi, N., Sakuma, S., Fujimoto, Y. Potent inhibition of prostaglandin inactivation in rabbit gastric antral mucosal slices by selenium ions in-vitro. J. Pharm. Pharmacol. 42: 655-657, 1990.",,DUKE,10-Dec-97,
JPP42:657,"Li, K.M. Effect of zinc sulphate on acetic acid-induced gastric ulceration in rats. J. Pharm. Pharmacol. 42: 657-659, 1990.",,DUKE,10-Dec-97,
JPP42:877,"Rao, V.S.N., Menezes, A.M.S., Viana, G.S.B. 1990. Effect of myrcene on nociception in mice. J. Pharm. Pharmacol. 42: 877-878, 1990.",,DUKE,10-Dec-97,
JPP46:118,"Da Silva Emim, J.A., Oliveira, A.B. and Lapa, A.J. Pharmacological Evaluation of the Anti-inflammatory Activity of a Citrus Bioflavonoid, Hesperidin, and the Isoflavonoids, Duartin and Claussequinone, in Rats and Mice. J. Pharm. Pharmacol. 46:118-122,1994",,DUKE,10-Dec-97,
JPP46:16,"Yamamoto, A., Umemori, S., and Muranishi, S. 1993. Absorption Enhancement of Intrapulmonary Administered Insulin by Various Absorption Enhancers and Protease Inhibitors in Rats. J. Pharm. Pharmacol. 46: 14-18, 1994.",,DUKE,10-Dec-97,
JPRE,J. Plant Resources and Environment (Vol. 2{2}=1993).,,DUKE,10-Dec-97,
JPS,J.Pharm. Sci. (Vol. 68=1979),,DUKE,10-Dec-97,29-Apr-00
JRM,J.Reproductive Medicine (Vol.26=1981) ,,DUKE,10-Dec-97,
JSG,J.S. Glasby Dict.Pls Containing 2ndary Metabolite. 1991.,,DUKE,10-Dec-97,
JSPR22:141,"J. Stored. Prod. Res., 22:141, 1986.",,DUKE,10-Dec-97,
KAR,"Kartnig, T. 1988. clinical applications of Centella asiatica (L.) Urb. pp 145-173 in Craker & Simon. Vol. III.",,DUKE,10-Dec-97,
KCH,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp.",,DUKE,10-Dec-97,29-Apr-00
KEP2:185,Jim Duke's personal files.,,DUKE,10-Dec-97,
KNPW1988,"KREHER, NESZMELYI, POLOS & WAGNER 1988",,DUKE,10-Dec-97,
Keys,"Keys, J.D. 1976. Chinese Herbs. Charles E. Tuttle Co., Tokyo.",,DUKE,10-Dec-97,
Kimura,"Kimura, Koiti. 1962. Japanese medicinal plants. vol. 1 (Revised ed.). Hirokawa Publishing Co., Tokyo.",,DUKE,10-Dec-97,
Krochmal,"Krochmal, Arnold and Connie. 1973. A guide to the medicinal plants of the United States. Quadrangle/The N.Y. Times Book Co.",,DUKE,10-Dec-97,
LEH,"Laughton, M., P. Evans, J. Hoult, & B. Halliwell. 1991. Inhibition of mammalian lipoxygenase and cyclo-oxygenase by flavonoids and phenolic dietary additives. Biochem. Pharm. 42:1673-82.",,DUKE,10-Dec-97,
LEL,"Lewis and Elvin-Lewis, Medical Botany, ca 1977",,DUKE,10-Dec-97,
LGR,L. Gracza (1985) as cited by Buchbauer re antiacetylcholinesterase.,,DUKE,10-Dec-97,
LL,Let's Live,,DUKE,10-Dec-97,
LL-MAY89,"Let's Live, May 1989.",,DUKE,10-Dec-97,
LRN,"Lawrence Review of Natural Products, looseleaf; periodically updated.",,DUKE,10-Dec-97,
LRN-AUG92,"Lawrence Review of Natural Products, Aug-92.",,DUKE,10-Dec-97,
LRN-DEC90,"Lawrence Review of Natural Products, Dec-90.",,DUKE,10-Dec-97,
LRN-DEC93,"Lawrence Review of Natural Products, Dec-93.",,DUKE,10-Dec-97,
LRN-JAN87,"Lawrence Review of Natural Products, Jan-87.",,DUKE,10-Dec-97,
LRN-JAN91,"Lawrence Review of Natural Products, Jan-91.",,DUKE,10-Dec-97,
LRN-JAN92,"Lawrence Review of Natural Products, Jan-92.",,DUKE,10-Dec-97,
LRN-JAN93,"Lawrence Review of Natural Products, Jan-93.",,DUKE,10-Dec-97,
LRN-JUL87,"Lawrence Review of Natural Products, Jul-87.",,DUKE,10-Dec-97,
LRN-JUN88,"Lawrence Review of Natural Products, Jun-88.",,DUKE,10-Dec-97,
LRN-JUN90,"Lawrence Review of Natural Products, Jun-90.",,DUKE,10-Dec-97,
LRN-MAR91,"Lawrence Review of Natural Products, Mar-91.",,DUKE,10-Dec-97,
LRN-MAR92,"Lawrence Review of Natural Products, Mar-92.",,DUKE,10-Dec-97,
LRN-OCT91,"Lawrence Review of Natural Products, Oct-91.",,DUKE,10-Dec-97,
LRN-SEP87,"Lawrence Review of Natural Products, Sep-87.",,DUKE,10-Dec-97,
LRN-SEP91,"Lawrence Review of Natural Products, Sep-91.",,DUKE,10-Dec-97,
LRN-SEP97,"Lawrence Review of Natural Products, Sep-97.",,DUKE,10-Dec-97,
LRN1995,"Lawrence Review of Natural Products, 1995",,DUKE,10-Dec-97,
LS,Life Sciences (Vol. 50=1991).,,DUKE,10-Dec-97,
LS55:1061,Life Sciences 55: 1061.,,DUKE,10-Dec-97,
Leung,"Leung, Albert Y. 1980. Encyclopedia of common natural ingredients. John Wiley and Sons, N.Y.",,DUKE,10-Dec-97,
Lewis,"Lewis and Elvin-Lewis, Medical Botany, ca 1977",,DUKE,10-Dec-97,
Li,"Li, C.P. 1974. Chinese Herbal Medicine. DHEW Publication No. (NIH): 75-732.",,DUKE,10-Dec-97,
Liogier,"Liogier, Alain Henri. 1974. Diccionario Botanico de Nombres Vulgares de la Espanola. Universidad Nacional Pedro Henriquez Urena, Santo Domingo.",,DUKE,10-Dec-97,
M&R,"Mitchell, J. and Rook, A.J. 1923. Botanical Dermatology: plants and plant products injurious to the skin. Vancouver: Greengrass, 1979. xiii, 787 p.: ill.",,DUKE,10-Dec-97,
M1,Merck 1st Edition,,DUKE,10-Dec-97,
M10,Merck 10th Edition.,,DUKE,10-Dec-97,
M11,Merck 11th Edition,,DUKE,10-Dec-97,
M28,Martindale's 28th,,DUKE,10-Dec-97,
M29,Martindale's 29th,,DUKE,10-Dec-97,
M29(P.1064),"Martindale's 29th, p. 1064.",,DUKE,10-Dec-97,
M29(P.779),"Martindale's 29th, p. 779.",,DUKE,10-Dec-97,
M30,Martindale's 30th,,DUKE,10-Dec-97,
M7,Merck 7th Ed.,,DUKE,10-Dec-97,
MAP,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf).",,DUKE,10-Dec-97,
MAR,Martindale's 28th,,DUKE,10-Dec-97,
MED,Medline (post 1990 searches filed in my computer),,DUKE,10-Dec-97,29-Apr-00
MIK,"Michael Castleman 1991. The Healing Herbs. Rodale Press, Emmaus, PA 436 pp.",,DUKE,10-Dec-97,
MOB,Mater Org (Berl),,DUKE,10-Dec-97,
MOB24:301.1989,"Mater Org (Berl), 24:301, 1989.",,DUKE,10-Dec-97,
MPC,Medicinal Plants of China,,DUKE,10-Dec-97,29-Apr-00
MPI,"=ICMR(Indian Council of Medical Research).1976.Medicinal Plants of India.Vol.1.Indian Council of Med. Res.Cambridge Printing Works, New Delhi.487 pp;ICMR.1987.Medicinal Plants of India.Vol.2.Indian Council of Med. Res.Cambr. Printing Works,New Delhi.600pp",(2 vols so far).,DUKE,10-Dec-97,5-Jan-01
MPT,"Medicinal and Poisonous Plants of the Tropics. Leeuwenberg, A.J.M., ed. Pudoc, Wageningen. 1987.",,DUKE,10-Dec-97,
MUO,Material und Organismen (volume 24 in 1989),,DUKE,10-Dec-97,
MUO24:1,"Material und Organismen , 24: 1, 1989.",,DUKE,10-Dec-97,
Martinez,"Martinez, Maximino. 1969. Las Plantas Medinales de Mexico.",,DUKE,10-Dec-97,
Millspaugh,"Millspaugh, C.F. 1974.  American medicinal plants.  Dover Publications, Inc., N.Y.",,DUKE,10-Dec-97,
NAS,Lost Crops of the Incas.,,DUKE,10-Dec-97,
NAS2,"Herbal pharmacology in the People's Republic of China. National Academy of Sciences, Washington, D.C.",,DUKE,10-Dec-97,
NEM,Nematologia (Vol. 39=1993).,,DUKE,10-Dec-97,
NIG,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp.",,DUKE,10-Dec-97,
NIP61:1119,"Kameoka, H., and K. Nakai. 1987. Components of essential oil from the root of Glycyrrhiza glabra. Nippon Gogeikaguku Kaishi 61(9):1119-1122.",,DUKE,10-Dec-97,
NM,Natural Medicines (Vol. 48 + 1994),,DUKE,10-Dec-97,
NNK,Nippon Nogeikagaku Kaishi (Vol. 67{10}=1993,,DUKE,10-Dec-97,
NNK67:1417,"Umemoto, K., Arai, T., Nii, H. and Furukawa, K. 1993. A New Chemotype of Mentha aquatica Containing Sesquiterpene Alcohols as Major Components. Nippon Nogeikagaku Kaishi 67(10): 1417-1419.",<0.1=Trace.,DUKE,10-Dec-97,
NSK,Nippon Shokuhin Kogyo Gakkaishi (Vol. 39=1992).,,DUKE,10-Dec-97,
NUC,Nutr. Cancer (19(1)=1993).,,DUKE,10-Dec-97,
NYT,New York Times followed by mo.date'yr,,DUKE,10-Dec-97,
NYT3/28/95,"New York Times, 3/28/95.",,DUKE,10-Dec-97,
"OHAI,1987","Oriental Healing Arts Institute, 1987. (Changed to Int. J. Oriental Medicine).",,DUKE,10-Dec-97,
OMM,Oriental Materia Medica (three volumes by Dr. Hsu and collaborators),,DUKE,10-Dec-97,
ONZ,"Olshevsky, Noy & Zwang, 1989. Manual of Natural Therapy. Facts on File, New York.",,DUKE,10-Dec-97,
PAACR,Proc. Am. Ass. Cancer Res.,,DUKE,10-Dec-97,
PAM,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf).",,DUKE,10-Dec-97,
PAP,Photobiochem & Photobiophys 5=1983.,,DUKE,10-Dec-97,
PAS,"Stitt, Paul. Why George should eat broccoli.",Based on NAPRALERT.,DUKE,10-Dec-97,
PB57:347,Jim Duke's personal files.,,DUKE,10-Dec-97,
PBB47:1,Jim Duke's personal files.,,DUKE,10-Dec-97,
PC,Phytochemistry 450 p5622 (29=1990),,DUKE,10-Dec-97,
PC23:1677,"Phytochemistry, 23: 1677.",,DUKE,10-Dec-97,
PC23:1885,"Shimizu, M., Ito, T., Terashima, S., Hayashi, T., Arisawa, M., Morita, N., Kurokawa, S., Ito, K., and Hashimoto, Y. 1984. Inhibition of Lens Aldose Reductase by Flavonoids. Phytochemistry, 23: 1885-1888.",,DUKE,10-Dec-97,25-Feb-00
PC25:2085,"Phytochemistry, 25: 2085.",,DUKE,10-Dec-97,
PC25:859,"Phytochemistry, 25: 859.",,DUKE,10-Dec-97,
PC27:969,"Larson, R.A. 1987. Review Article Number 30. The Antioxidants of Higher Plants. Phytochemistry. 27: 969-978.",,DUKE,10-Dec-97,
PC29(4):1103,"Weidenborner, M., Hindorf, H., Jha, H.C., and Tsotsonos, P. 1989. Antifungal Activity of Flavonoids Against Storage Fungi of the Genus Aspergillus. Phytochemistry. 29(4): 1103-1105.",,DUKE,10-Dec-97,
PC29(5):1667,"Jung, J.H., Pummangura, S., Chaichantipyuth, c., Patarapanich, C., and McLaughlin, J.L. 1989. Bioactive Constituents of Melodorum fruticosum. Phytochemistry. 29(5): 1667-1670. 1990.",,DUKE,10-Dec-97,
PC29:1093,"Tomas-Barberan, F., Iniesta-Sanmartin, E., Tomas-Lorente, F., and Rumbero, A. 1989. Antimicrobial Phenolic Compounds From Three Spanish Helichrysum Species. Phytochemistry. 29(4): 1093-1095. 1990.",,DUKE,10-Dec-97,
PC29:1165,"Velasco-Negueruela, A. and Perez-Alonso, M.J. 1990. The Volatiles of Six Teucrium Species from the Iberian Peninsula and the Balearic Islands. Phytochemistry 29(4): 1165-9.",,DUKE,10-Dec-97,
PC29:821,"Phytochemistry, 29: 821.",,DUKE,10-Dec-97,
PC33:557,"Okamura, H., Mimura, A., Yakou, Y., Niwano, M., and Takahara, Y. 1992. Antoxidant Activity of Tannins and Flavonoids in Eucalyptus rostrata. Phytochemistry. 33(3): 557-561. 1993.",,DUKE,10-Dec-97,
PC35:83,"Arrebola, M.L., Navaro, M.C., Jimenez, J. and Ocana, F.A. 1994. Variations in Yield and Composition of the Essential Oil of Satureja obovata. Phytochemistry 35(1): 83.",,DUKE,10-Dec-97,
PC36:579,"Ohnishi, M., Morishita, H., Iwahashi, H., Toda, S., Shirataki, Y., Kimura, M., and Kido, R. 1993. Inhibitory Effects of Chlorogenic Acids on Linoleic Acid Peroxidation and Haemolysis. Phytochemistry. 36(3): 579-583. 1994.",,DUKE,10-Dec-97,
PC37:1463,"Phytochemistry, 37: 1463.",,DUKE,10-Dec-97,
PC38:599,"Geibel, M. 1994. Sensitivity of the Fungus Cytospora persoonii to the Flavonoids of Prunus cerasus. Phytochemistry. 38(3): 599-601. 1995.",,DUKE,10-Dec-97,
PCA,Phytochemical Analysis (Vol. 3=1992).,,DUKE,10-Dec-97,
PCA3:421,Phytochem. Anal. 3(1):42-48. 1992,,DUKE,10-Dec-97,
PCF,"Phenolic Compounds in Food and Their Effects on Health. Antioxidants & Cancer Prevention. Huang, M.T., Ho, C.T. and Lee, C.Y. eds. 1992. ACS Symposium Series 507.ACS, Washington 402 pp.",,DUKE,10-Dec-97,
PCF39:277,"Ito, N., Hirose, M., and  Shirai, T. Carcinogenicity and Modification of Carcinogenic Response by Plant Phenols. Phenolic Compounds in Food and Their Effects on Health, Ch.20 p.277.",,DUKE,10-Dec-97,
PCF:10,"Shahidi, F. Phenolic Compounds of Brassica Oilseeds. Phenolic Compounds in Food and Their Effects on Health, Ch. 10, 132.",,DUKE,10-Dec-97,
PCF:13,"Maga, J.A. Contribution of Phenolic Compounds to Smoke Flavor. Phenolic Compounds in Food and Their Effects on Health, Ch.13.",,DUKE,10-Dec-97,
PCF:14,"Naim, M., Zehavi, U., Nagy, S., and Rouseff, R.L. Hydroxycinnamic Acids as Off-Flavor Precursors in Citrus Fruits and Their Products. Phenolic Compounds in Food and Their Effects on Health, Ch.14.",,DUKE,10-Dec-97,
PCF:142,"Osawa, T. Phenolic Antioxidants in Dietary Plants as Antimutagens.Phenolic Compounds in Food and Their Effects on Health, Ch.11 p.142.",,DUKE,10-Dec-97,
PCF:16,"Hwang, L.S., Wang, C-K, Sheu, M-J., Kao, L-S. Phenolic Compounds of Piper betle Flower as Flavoring and Neuronal Activity Modulating Agents. Phenolic Compounds in Food and Their Effects on Health, I:200.",,DUKE,10-Dec-97,
PCF:17,"Shahidi, F., Wanasundara, P.K.J.P.D., Hong, C. Antioxidant Activity of Phenolic Compounds in Meat Model Systems. Phenolic Compounds in Food and Their Effects on Health, Ch.17.",,DUKE,10-Dec-97,
PCF:18,"Ki Soon Rhee. Oilseed Food Ingredients Used To Minimize Oxidative Flavor Deterioration in Meat Products. Phenolic Compounds in Food and Their Effects on Health, Ch.18.",,DUKE,10-Dec-97,
PCF:19,"Hagerman, A.E. Tannin-Protein Interactions. Phenolic Compounds in Food and Their Effects on Health, Ch.19.",,DUKE,10-Dec-97,
PCF:21,"Huang, M-T., and Ferraro, T. Phenolic Compounds in Food and Cancer Prevention. Phenolic Compounds in Food and Their Effects on Health, Ch.2 p.21.",,DUKE,10-Dec-97,
PCF:25,"McEvily, A.J., Iyengar, R., and Gross, A.T. Inhibition of Polyphenol Oxidase by Phenolic Compounds. Phenolic Compounds in Food and Their Effects on Health, Ch.25.",,DUKE,10-Dec-97,
PCF:267,"Deschner E.E. Dietary Quercetin and Rutin. Inhibitors of Experimental Colonic Neoplasia. Phenolic Compounds in Food and Their Effects on Health, Ch.19 p.267.",,DUKE,10-Dec-97,
PCF:35,"Weisburger, J.H. Mutagenic, Carcinogenic, and Chemoproventive Effects of Phenols and Catechols.Phenolic Compounds in Food and Their Effects on Health, Ch.3.",,DUKE,10-Dec-97,
PCF:48,"Newmark, H.L. Plant Phenolic Compounds as Inhibitors of Mutagenesis and Carcinogenesis. Phenolic Compounds in Food and Their Effects on Health, Ch.4.",,DUKE,10-Dec-97,
PCF:54,"Pratt, D.E. Natural Antioxidants from Plant Material. Phenolic Compounds in Food and Their Effects on Health, Ch.5.",,DUKE,10-Dec-97,
PCF:64,"Phenolic Compounds in Food and Their Effects on Health, 64.",,DUKE,10-Dec-97,
PCF:65,"Phenolic Compounds in Food and Their Effects on Health, 65.",,DUKE,10-Dec-97,
PCF:67,"Phenolic Compounds in Food and Their Effects on Health, 67.",,DUKE,10-Dec-97,
PCF:68,"Phenolic Compounds in Food and Their Effects on Health, 68.",,DUKE,10-Dec-97,
PCF:69,"Phenolic Compounds in Food and Their Effects on Health, 69.",,DUKE,10-Dec-97,
PCF:93,"Okuda, T., Yoshida, T., and Hatano, T. Antioxidant Effects of Tannins and Related Polyphenols. Phenolic Compounds in Food and Their Effects on Health, Ch.7 p.93.",,DUKE,10-Dec-97,
PDR,Physicians' Desk Reference 45=1991,,DUKE,10-Dec-97,
PED,"Pedersen, M.  1987.  Nutritional Herbology.  Pederson Publishing. Bountiful, Utah. 377 pp.","Some quantitative data, e.g., selenium, seems inaccurate.  All PED data is ZMB.",DUKE,10-Dec-97,
PEO,"Prog.in Ess.Oil Res., ed. E.J. Brunke, 1986.",,DUKE,10-Dec-97,
PEP,Pakistan Encyclopedia Planta Medica. 1986.,,DUKE,10-Dec-97,
PER.COM.SFV,"Duke, J.A.. Personal Communication.",,DUKE,10-Dec-97,
PFH,Plant Food Hum. Nutr. (Vol. 44{1}1993).,,DUKE,10-Dec-97,
PFH46:77,"Singh, J., Gupta, K., and Arora, S.K. 1993. Changes in the anti-nutritional factors of developing seeds and pod walls of fenugreek (Trigonella foenum graecum L.). Plant Foods for Human Nutrition. 46: 77-84, 1994.",,DUKE,10-Dec-97,
PHYT13:2002,"Pavannasasivam, G., & M.U.S. Sultanbawa. 1974. Betulinic acid in the Dilleniaceae and a review of its natural distribution. Phytochem. 13:2002-2006.",,DUKE,10-Dec-97,
