SUPERACT,ACTIVITY
Cancer,Mitogen
Cancer,Mitogenic
Cancer,Nephroprotective
Cancer,Nervine
Cancer,Ornithine-Decarboxylase-Inhibitor
Cancer,P450-Inducer
Cancer,PAF-Inducer
Cancer,PKC-Inhibitor
Cancer,PTK-Inhibitor
Cancer,Phytoestrogenic
Cancer,Phytohormonal
Cancer,Phytohormone
Cancer,Previtamin-A
Cancer,Prostaglandigenic
Cancer,Protease-Inhibitor
Cancer,Protein-Kinase-C-Inhibitor
Cancer,Protein-Kinase-Inhibitor
Cancer,Protein-Kinase-Regulator
Cancer,Proteoglycanogenic
Cancer,Pulmonoprotective
Cancer,Reverse-Transcriptase-Inhibitor
Cancer,Sunscreen
Cancer,T-Cell-Stimulant
Cancer,Thymoprotective
Cancer,Tocopherol-Synergist
Cancer,Topoisomerase-II-Inhibitor
Cancer,Topoisomerase-II-Poison
Cancer,Topoisomerase-Inhibitor
Cancer,Tubulin-Inhibitor
Cancer,Tyrosine-Kinase-Inhibitor
Cancer,UV-Screen
Cancer,Ultraviolet-Screen
Cancer,Vasculoprotective
Cancer,Vasoprotective
Cancer,Viristat
Cancer,Vitamin-A-Activity
Cancer,cAMP-genic
Candidiasis,Anti-Itching
Candidiasis,Antibiotic
Candidiasis,Anticandidosis
Candidiasis,Antidermatitic
Candidiasis,Antifungal
Candidiasis,Antiseptic
Candidiasis,Antiyeast
Candidiasis,Candidicide
Candidiasis,Candidistat
Candidiasis,Demulcent
Candidiasis,Fungicide
Candidiasis,Fungistat
Canker Sores,Analgesic
Canker Sores,Anesthetic
Canker Sores,Antiallergic
Canker Sores,Antibacterial
Canker Sores,Antibiotic
Canker Sores,Anticandidosis
Canker Sores,Antiinflammatory
Canker Sores,Antinociceptive
Canker Sores,Antioxidant
Canker Sores,Antiscorbutic
Canker Sores,Antiseptic
Canker Sores,Antiulcer
Canker Sores,Antiulcerogenic
Canker Sores,Astringent
Canker Sores,Bacteristat
Canker Sores,COX-2-Inhibitor
Canker Sores,Candidicide
Canker Sores,Candidistat
Canker Sores,Cyclooxygenase-Inhibitor
Canker Sores,Immunostimulant
Canker Sores,MDR-Inhibitor
Canker Sores,Sialogogue
Canker Sores,Ulcer Proctective
Canker Sores,Vulnerary
Cardiopathy/Heart Problems,ACE-Inhibitor
Cardiopathy/Heart Problems,Antiaggregant
Cardiopathy/Heart Problems,Antianginal
Cardiopathy/Heart Problems,Antiarrhythmic
Cardiopathy/Heart Problems,Antiarteriosclerotic
Cardiopathy/Heart Problems,Antiatherogenic
Cardiopathy/Heart Problems,Antiatheromic
Cardiopathy/Heart Problems,Antiatherosclerotic
Cardiopathy/Heart Problems,Antiatherotic
Cardiopathy/Heart Problems,Anticardiac
Cardiopathy/Heart Problems,Anticardiospasmic
Cardiopathy/Heart Problems,Anticoagulant
Cardiopathy/Heart Problems,Anticoronary
Cardiopathy/Heart Problems,Antiedemic
Cardiopathy/Heart Problems,Antihemorrhagic
Cardiopathy/Heart Problems,Antihemorrhoidal
Cardiopathy/Heart Problems,Antihypercholesterolemic
Cardiopathy/Heart Problems,Antihypertensive
Cardiopathy/Heart Problems,Antiinfarctal
Cardiopathy/Heart Problems,Antiischemic
Cardiopathy/Heart Problems,Antioxidant
Cardiopathy/Heart Problems,Antiplatelet
Cardiopathy/Heart Problems,Antistress
Cardiopathy/Heart Problems,Antistroke
Cardiopathy/Heart Problems,Antitachycardic
Cardiopathy/Heart Problems,Antithrombic
Cardiopathy/Heart Problems,Arteriodilator
Cardiopathy/Heart Problems,Beta-Adrenergic Receptor Blocker
Cardiopathy/Heart Problems,COX-2-Inhibitor
Cardiopathy/Heart Problems,Calcium-Antagonist
Cardiopathy/Heart Problems,Cardioprotective
Cardiopathy/Heart Problems,Cardiorelaxant
Cardiopathy/Heart Problems,Cardiosedative
Cardiopathy/Heart Problems,Cardiotonic
Cardiopathy/Heart Problems,Cyclooxygenase-Inhibitor
Cardiopathy/Heart Problems,Diuretic
Cardiopathy/Heart Problems,Hypocholesterolemic
Cardiopathy/Heart Problems,Hypotensive
Cardiopathy/Heart Problems,Myocardiotonic
Cardiopathy/Heart Problems,Nervine
Cardiopathy/Heart Problems,Sedative
Cardiopathy/Heart Problems,Vasodilator
Cardiopathy/Heart Problems,Vasoprotective
Cardiopathy/Heart Problems,Vasorelaxant
Cardiopathy/Heart Problems,Vasotonic
Cardiopathy/Heart Problems,Venotonic
Cataracts,Adrenal-Support
Cataracts,Adrenergic
Cataracts,Aldose-Reductase-Inhibitor
Cataracts,Anthocyanodin-Rich
Cataracts,Anthocyanoside-Rich
Cataracts,Antiallergic
Cataracts,Anticapillary-Fragility
Cataracts,Anticataract
Cataracts,Anticonjunctivitic
Cataracts,Antidermatitic
Cataracts,Antidiabetic
Cataracts,Antiedemic
Cataracts,Antihistamine
Cataracts,Antihistaminic
Cataracts,Antiinflammatory
Cataracts,Antimaculitic
Cataracts,Antiophthalmic
Cataracts,Antioxidant
Cataracts,Antiscorbutic
Cataracts,Antisinusitic
Cataracts,Antistress
Cataracts,Antiuveitic
Cataracts,COX-2-Inhibitor
Cataracts,Carotenoid-Provider
Cataracts,Carotenoid-Rich
Cataracts,Collagen-Sparing
Cataracts,Cyclooxygenase-Inhibitor
Cataracts,Free-Radical Scavenging
Cataracts,Histamine-Inhibitor
Cataracts,Increase Catalase Activity
Cataracts,Increase Superoxide Dismutase Activity
Cataracts,Mast-Cell-Stabilizer
Cataracts,Vasoconstrictor
Cellulite,Anorectic
Cellulite,Anorexic
Cellulite,Anticellulitic
Cellulite,Antiedemic
Cellulite,Antiobesity
Cellulite,Antipanniculopathic
Cellulite,Catabolic
Cellulite,Circulatory-Stimulant
Cellulite,Collagen-Sparing
Cellulite,Collagenic
Cellulite,Diuretic
Cellulite,Lipolytic
Cellulite,Phosphodiesterase-Inhibitor
Cellulite,Thermogenic
Cellulite,Triglycerolytic
Chronic Fatigue Syndrome,Adaptogenic
Chronic Fatigue Syndrome,Antiallergic
Chronic Fatigue Syndrome,Antibiotic
Chronic Fatigue Syndrome,Antidepressant
Chronic Fatigue Syndrome,Antifatigue
Chronic Fatigue Syndrome,Antioxidant
Chronic Fatigue Syndrome,Antipharyngitic
Chronic Fatigue Syndrome,Antiviral
Chronic Fatigue Syndrome,Anxiolytic
Chronic Fatigue Syndrome,Hyperglycemic
Chronic Fatigue Syndrome,Immunomodulator
Chronic Fatigue Syndrome,Immunostimulant
Chronic Fatigue Syndrome,Increase NK Cell Activity
Chronic Fatigue Syndrome,Increase Natural Killer (NK) Cell Activity
Chronic Fatigue Syndrome,Increase T-lymphocyte Proliferation
Chronic Fatigue Syndrome,Interferonogenic
Chronic Fatigue Syndrome,Nervine
Chronic Fatigue Syndrome,Phagocytotic
Chronic Fatigue Syndrome,Stimulant
Chronic Fatigue Syndrome,Tonic
Chronic Fatigue Syndrome,Viricide
Chronic Fatigue Syndrome,Viristat
Chronic Venous Insufficiency/CVI,Antiaggregant
Chronic Venous Insufficiency/CVI,Antiarteriosclerotic
Chronic Venous Insufficiency/CVI,Antiatherogenic
Chronic Venous Insufficiency/CVI,Antiatheromic
Chronic Venous Insufficiency/CVI,Antiatherosclerotic
Chronic Venous Insufficiency/CVI,Antiatherotic
Chronic Venous Insufficiency/CVI,Anticapillary-Fragility
Chronic Venous Insufficiency/CVI,Anticoagulant
Chronic Venous Insufficiency/CVI,Antiedemic
Chronic Venous Insufficiency/CVI,Antihypercholesterolemic
Chronic Venous Insufficiency/CVI,Antihypertensive
Chronic Venous Insufficiency/CVI,Antiischemic
Chronic Venous Insufficiency/CVI,Antioxidant
Chronic Venous Insufficiency/CVI,Antiplatelet
Chronic Venous Insufficiency/CVI,Antistress
Chronic Venous Insufficiency/CVI,Antithrombic
Chronic Venous Insufficiency/CVI,Antivaricose
Chronic Venous Insufficiency/CVI,Antivaricosity
Chronic Venous Insufficiency/CVI,Capillarifortificant
Chronic Venous Insufficiency/CVI,Capillariprotective
Chronic Venous Insufficiency/CVI,Capillaritonic
Chronic Venous Insufficiency/CVI,Cardiotonic
Chronic Venous Insufficiency/CVI,Diuretic
Chronic Venous Insufficiency/CVI,Hypocholesterolemic
Chronic Venous Insufficiency/CVI,Hypotensive
Chronic Venous Insufficiency/CVI,Myocardiotonic
Chronic Venous Insufficiency/CVI,Vasoactive
Chronic Venous Insufficiency/CVI,Vasocompressor
Chronic Venous Insufficiency/CVI,Vasoconstrictor
Chronic Venous Insufficiency/CVI,Vasomotor-Stimulant
Chronic Venous Insufficiency/CVI,Vasopressor
Chronic Venous Insufficiency/CVI,Vasoprotective
Chronic Venous Insufficiency/CVI,Vasotonic
Chronic Venous Insufficiency/CVI,Venotonic
Cold/Flu,Analgesic
Cold/Flu,Anesthetic
Cold/Flu,Antiallergic
Cold/Flu,Antibacterial
Cold/Flu,Antibiotic
Cold/Flu,Antibronchitic
Cold/Flu,Anticold
Cold/Flu,Antiflu
Cold/Flu,Antihistamine
Cold/Flu,Antihistaminic
Cold/Flu,Antiinflammatory
Cold/Flu,Antinociceptive
Cold/Flu,Antioxidant
Cold/Flu,Antipharyngitic
Cold/Flu,Antipyretic
Cold/Flu,Antirhinoviral
Cold/Flu,Antiseptic
Cold/Flu,Antistress
Cold/Flu,Antitussive
Cold/Flu,Antiviral
Cold/Flu,Bronchorelaxant
Cold/Flu,COX-2-Inhibitor
Cold/Flu,Cyclooxygenase-Inhibitor
Cold/Flu,Decongestant
Cold/Flu,Expectorant
Cold/Flu,Febrifuge
Cold/Flu,Immunostimulant
Cold/Flu,Interferonogenic
Cold/Flu,MDR-Inhibitor
Cold/Flu,Mitogenic
Cold/Flu,Phagocytotic
Cold/Flu,Spasmolytic
Cold/Flu,Viristat
Conjunctivitis,Adrenal-Support
Conjunctivitis,Adrenergic
Conjunctivitis,Anthocyanodin-Rich
Conjunctivitis,Anthocyanoside-Rich
Conjunctivitis,Antiallergic
Conjunctivitis,Antibacterial
Conjunctivitis,Anticonjunctivitic
Conjunctivitis,Anticonjunctivitis
Conjunctivitis,Antidermatitic
Conjunctivitis,Antiedemic
Conjunctivitis,Antihistaminic
Conjunctivitis,Antiinflammatory
Conjunctivitis,Antiophthalmic
Conjunctivitis,Antiretinopathic
Conjunctivitis,Antiretinotic
Conjunctivitis,Antiscorbutic
Conjunctivitis,Antisinusitic
Conjunctivitis,Antistress
Conjunctivitis,Antiuveitic
Conjunctivitis,Antiviral
Conjunctivitis,Bactericide
Conjunctivitis,Bacteristat
Conjunctivitis,COX-2-Inhibitor
Conjunctivitis,Carotenoid-Rich
Conjunctivitis,Collagen-Sparing
Conjunctivitis,Cyclooxygenase-Inhibitor
Conjunctivitis,Mast-Cell-Stabilizer
Conjunctivitis,Vasoconstrictor
Conjunctivitis,Viricide
Conjunctivitis,Viristat
Constipation,Antiscorbutic
Constipation,Demulcent
Constipation,Fiber-Rich
Constipation,Hepatoprotective
Constipation,Laxative
Constipation,Oligosaccharide Provider
Constipation,Peristalsis-Stimulator
Constipation,Prebiotic
Constipation,Probiotic
Constipation,Provide Oligosaccharides
Constipation,Purgative
Constipation,Stimulant
Constipation,Stimulate Peristalsis
Cramp,Analgesic
Cramp,Anesthetic
Cramp,Anticonvulsant
Cramp,Antiinflammatory
Cramp,Antimyalgic
Cramp,Antinociceptive
Cramp,Antispasmodic
Cramp,COX-2-Inhibitor
Cramp,Carminative
Cramp,Cyclooxygenase-Inhibitor
Cramp,Lipoxygenase-Inhibitor
Cramp,Myorelaxant
Cramp,Sedative
Cramp,Tranquilizer
Crohns Disease,AntiCrohn's
Crohns Disease,Antiallergenic
Crohns Disease,Antiallergic
Crohns Disease,Antibacterial
Crohns Disease,Anticolitic
Crohns Disease,Antidiarrheic
Crohns Disease,Antienteritic
Crohns Disease,Antiinflammatory
Crohns Disease,Antileukotriene
Crohns Disease,Antioxidant
Crohns Disease,Antiprostaglandin
Crohns Disease,Antispasmodic
Crohns Disease,Antiulcer
Crohns Disease,Bacteristat
Crohns Disease,COX-2-Inhibitor
Crohns Disease,Cyclooxygenase-Inhibitor
Crohns Disease,Demulcent
Crohns Disease,Immunomodulator
Crohns Disease,Immunostimulant
Crohns Disease,Leukotriene-Inhibitor
Crohns Disease,Mycobactericide
Crohns Disease,Proteolytic
Crohns Disease,Spasmolytic
Cystitis,Analgesic
Cystitis,Anesthetic
Cystitis,Antiinflammatory
Cystitis,Antinociceptive
Cystitis,Antiseptic
Cystitis,Bactericide
Cystitis,COX-2-Inhibitor
Cystitis,Cyclooxygenase-Inhibitor
Cystitis,Diuretic
Cystitis,Lipoxygenase-Inhibitor
Cystitis,Uricosuric
Decubitis,Analgesic
Decubitis,Anesthetic
Decubitis,Antibacterial
Decubitis,Antibiotic
Decubitis,Antiinflammatory
Decubitis,Antinociceptive
Decubitis,Antioxidant
Decubitis,Antipeptic
Decubitis,Antiseptic
Decubitis,Antiulcer
Decubitis,Antiulcerogenic
Decubitis,Astringent
Decubitis,Bacteristat
Decubitis,COX-2-Inhibitor
Decubitis,Collagen-Sparing
Decubitis,Cyclooxygenase-Inhibitor
Decubitis,Fungicide
Decubitis,Immunostimulant
Decubitis,MDR-Inhibitor
Decubitis,Suppurative
Decubitis,Vulnerary
Depression,Antianxiety
Depression,Antidepressant
Depression,Antifatigue
Depression,Antiinflammatory
Depression,Antiinsomniac
Depression,Antioxidant
Depression,Antioxidant Synergist
Depression,Antistress
Depression,Antiulcer
Depression,Antiulcerogenic
Depression,Anxiolytic
Depression,CNS-Stimulant
Depression,COMT-Inhibitor
Depression,Catechol-O-Methyl-Transferase-Inhibitor
Depression,Catechol-O-Methyltransferase-Inhibitor
Depression,Dopaminergic
Depression,Dopaminigenic
Depression,Endorphinogenic
Depression,Energizer
Depression,Euphoriant
Depression,Euphoric
Depression,Euphorigenic
Depression,GABA-nergic
Depression,Gastroprotective
Depression,Immunostimulant
Depression,MAO-Inhibitor
Depression,Melatoninergic
Depression,Melatoninogenic
Depression,Nervine
Depression,Neuroprotective
Depression,SSRI
Depression,Selective-Serotonin-Reuptake-Inhibitor
Depression,Serotoninergic
Depression,Stimulant
Depression,Tonic
Dermatitis/Dermatoses,Analgesic
Dermatitis/Dermatoses,Anesthetic
Dermatitis/Dermatoses,Antibacterial
Dermatitis/Dermatoses,Antibiotic
Dermatitis/Dermatoses,Antidermatitic
Dermatitis/Dermatoses,Antifungal
Dermatitis/Dermatoses,Antiinflammatory
Dermatitis/Dermatoses,Antiitch
Dermatitis/Dermatoses,Antinociceptive
Dermatitis/Dermatoses,Antipruritic
Dermatitis/Dermatoses,Antiseptic
Dermatitis/Dermatoses,Antistress
Dermatitis/Dermatoses,Astringent
Dermatitis/Dermatoses,COX-2-Inhibitor
Dermatitis/Dermatoses,Cyclooxygenase-Inhibitor
Dermatitis/Dermatoses,Demulcent
Dermatitis/Dermatoses,Fungicide
Dermatitis/Dermatoses,Immunomodulator
Dermatitis/Dermatoses,Inhibit DTH
Dermatitis/Dermatoses,MDR-Inhibitor
Dermatitis/Dermatoses,Moisturizing
Diabetes,Aldose-Reductase-Inhibitor
Diabetes,Antiaggregant
Diabetes,Anticapillary-Fragility
Diabetes,Antidiabetic
Diabetes,Antidiabetic (Insulin-Sparing)
Diabetes,Antiglycation
Diabetes,Antihemoglobin-1Ac
Diabetes,Antihypercholesterolemic
Diabetes,Antihyperglycemic
Diabetes,Antiobesity
Diabetes,Antioxidant
Diabetes,Antiperoxidant
Diabetes,Antiradicular
Diabetes,Antiscorbutic
Diabetes,Antithrombic
Diabetes,Capillarifortificant
Diabetes,Capillariprotective
Diabetes,Capillaritonic
Diabetes,Fiber-Rich
Diabetes,Gluconeogensis-Inhibitor
Diabetes,Glucose-6-Phosphatase-Inhibitor
Diabetes,Glycogenic
Diabetes,Hexokinase-Stimulator
Diabetes,Hypocholesterolemic
Diabetes,Hypoglycemic
Diabetes,Hypotriacylglycerolemic
Diabetes,Insulin-Potentiating
Diabetes,Insulin-Sparing
Diabetes,Insulinase-Inhibitor
Diabetes,Insulinic
Diabetes,Insulinogenic
Diabetes,Insulinotonic
Diabetes,PAF-Inhibitor
Diabetes,Soluble-Fiber
Diabetes,Stimulate PUFA Desaturase and Elongase Enzymes
Diabetes,Thermogenic
Diabetes,Tyrosine-Kinase-Activator
Diarrhea,Amebicide
Diarrhea,Anthelmintic
Diarrhea,Antibacterial
Diarrhea,Antibiotic
Diarrhea,Anticandidosis
Diarrhea,Antidiarrheic
Diarrhea,Antiperistaltic
Diarrhea,Antispasmodic
Diarrhea,Antistress
Diarrhea,Antiviral
Diarrhea,Astringent
Diarrhea,Candidicide
Diarrhea,Candidistat
Diarrhea,Carminative
Diarrhea,Demulcent
Diarrhea,Hepatoprotective
Diarrhea,Hydrating
Diarrhea,Inhibit Peristalsis
Diarrhea,MDR-Inhibitor
Diarrhea,Peristalsis Inhibitor
Diarrhea,Prebiotic
Diarrhea,Probiotic
Diarrhea,Protisticide
Diarrhea,Spasmolytic
Diarrhea,Vermifuge
Dysentery,Amebicide
Dysentery,Anthelmintic
Dysentery,Antibacterial
Dysentery,Antibiotic
Dysentery,Anticandidosis
Dysentery,Anticholeretic
Dysentery,Antidiarrheic
Dysentery,Antidysenteric
Dysentery,Antihepatotoxic
Dysentery,Antiperistaltic
Dysentery,Antiseptic
Dysentery,Antispasmodic
Dysentery,Antistress
Dysentery,Antiviral
Dysentery,Astringent
Dysentery,Candidicide
Dysentery,Candidistat
Dysentery,Carminative
Dysentery,Demulcent
Dysentery,Hepatoprotective
Dysentery,Hepatotonic
Dysentery,Hydrating
Dysentery,MDR-Inhibitor
Dysentery,Prebiotic
Dysentery,Protisticide
Dysentery,Vermifuge
Dysentery,Vibriocide
Dysentery,Vibriofuge
Dysmenorrhea,Analgesic
Dysmenorrhea,Anesthetic
Dysmenorrhea,AntiPMS
Dysmenorrhea,Antianxiety
Dysmenorrhea,Anticoagulant
Dysmenorrhea,Anticramp
Dysmenorrhea,Antidepressant
Dysmenorrhea,Antidysmenorrheic
Dysmenorrhea,Antihysteric
Dysmenorrhea,Antiinflammatory
Dysmenorrhea,Antimenorrhagic
Dysmenorrhea,Antinociceptive
Dysmenorrhea,Antispasmodic
Dysmenorrhea,Antithrombic
Dysmenorrhea,Antithrombin
Dysmenorrhea,Anxiolytic
Dysmenorrhea,COX-2-Inhibitor
Dysmenorrhea,Cyclooxygenase-Inhibitor
Dysmenorrhea,Myorelaxant
Dysmenorrhea,Nervine
Dysmenorrhea,Sedative
Dysmenorrhea,Spasmolytic
Dysmenorrhea,Uterosedative
Dysmenorrhea,Uterotonic
Dyspepsia/Indigestion,Analgesic
Dyspepsia/Indigestion,Anesthetic
Dyspepsia/Indigestion,Antiacid
Dyspepsia/Indigestion,Antianxiety
Dyspepsia/Indigestion,Antidyspeptic
Dyspepsia/Indigestion,Antiemetic
Dyspepsia/Indigestion,Antiflatulent
Dyspepsia/Indigestion,Antigastric
Dyspepsia/Indigestion,Antigastritic
Dyspepsia/Indigestion,Antigastrotic
Dyspepsia/Indigestion,Antiinflammatory
Dyspepsia/Indigestion,Antinauseant
Dyspepsia/Indigestion,Antinociceptive
Dyspepsia/Indigestion,Antioxidant
Dyspepsia/Indigestion,Antipeptic
Dyspepsia/Indigestion,Antistress
Dyspepsia/Indigestion,Antiulcer
Dyspepsia/Indigestion,Antiulcerogenic
Dyspepsia/Indigestion,Anxiolytic
Dyspepsia/Indigestion,Bitter
Dyspepsia/Indigestion,Carminative
Dyspepsia/Indigestion,Circulatory-Stimulant
Dyspepsia/Indigestion,Demulcent
Dyspepsia/Indigestion,Digestive
Dyspepsia/Indigestion,Gastric-Anesthetic
Dyspepsia/Indigestion,Gastroprotective
Dyspepsia/Indigestion,Gastrosedative
Dyspepsia/Indigestion,Gastrostimulant
Dyspepsia/Indigestion,Nervine
Dyspepsia/Indigestion,Proteolytic
Dyspepsia/Indigestion,Secretogogue
Dyspepsia/Indigestion,Sedative
Dyspepsia/Indigestion,Sialogogue
Dyspepsia/Indigestion,Tranquilizer
Edema,Analgesic
Edema,Anesthetic
Edema,Anticapillary-Fragility
Edema,Antiedemic
Edema,Antiinflammatory
Edema,Antinociceptive
Edema,COX-2-Inhibitor
Edema,Capillarifortificant
Edema,Capillariprotective
Edema,Circulatory-Stimulant
Edema,Cyclooxygenase-Inhibitor
Edema,Diuretic
Edema,Lipoxygenase-Inhibitor
Edema,Lymphatic
Edema,Natriuretic
Edema,Saluretic
Emphysema,Antibronchitic
Emphysema,Antibronchoconstrictor
Emphysema,Antiemphysemic
Emphysema,Antihistaminic
Emphysema,Antiinflammatory
Emphysema,Antioxidant
Emphysema,Antipharyngitic
Emphysema,Antipyretic
Emphysema,Antispasmodic
Emphysema,Antitussive
Emphysema,Bronchodilator
Emphysema,Bronchorelaxant
Emphysema,Bronchospasmolytic
Emphysema,Bronchotonic
Emphysema,COX-2-Inhibitor
Emphysema,Cyclooxygenase-Inhibitor
Emphysema,Decongestant
Emphysema,Expectorant
Emphysema,Immunostimulant
Emphysema,Interferonogenic
Emphysema,Refrigerant
Emphysema,Spasmolytic
Epilepsy,Antianxiety
Epilepsy,Anticonvulsant
Epilepsy,Antiepileptic
Epilepsy,Antihypertensive
Epilepsy,Antiinflammatory
Epilepsy,Antispasmodic
Epilepsy,Antistress
Epilepsy,Anxiolytic
Epilepsy,COX-2-Inhibitor
Epilepsy,Cyclooxygenase-Inhibitor
Epilepsy,Myorelaxant
Epilepsy,Nervine
Epilepsy,Sedative
Epilepsy,Spasmolytic
Epilepsy,Tranquilizer
Fever,Analgesic
Fever,Anesthetic
Fever,Antibacterial
Fever,Antiinflammatory
Fever,Antinociceptive
Fever,Antioxidant
Fever,Antipyretic
Fever,Antiseptic
Fever,Antispasmodic
Fever,Antistress
Fever,Antiviral
Fever,COX-2-Inhibitor
Fever,Cyclooxygenase-Inhibitor
Fever,Immunostimulant
Fever,MDR-Inhibitor
Fever,Protisticide
Fever,Sedative
Fever,Tranquilizer
Fungus/Mycosis,Analgesic
Fungus/Mycosis,Anesthetic
Fungus/Mycosis,Antiactinomycotic
Fungus/Mycosis,Antibacterial
Fungus/Mycosis,Antibiotic
Fungus/Mycosis,Anticandidosis
Fungus/Mycosis,Anticryptococcic
Fungus/Mycosis,Antidermatitic
Fungus/Mycosis,Antiinflammatory
Fungus/Mycosis,Antiitch
Fungus/Mycosis,Antimycoplasmotic
Fungus/Mycosis,Antimycotic
Fungus/Mycosis,Antinociceptive
Fungus/Mycosis,Antiseptic
Fungus/Mycosis,COX-2-Inhibitor
Fungus/Mycosis,Candidicide
Fungus/Mycosis,Candidistat
Fungus/Mycosis,Cyclooxygenase-Inhibitor
Fungus/Mycosis,Fungicide
Fungus/Mycosis,Fungistat
Fungus/Mycosis,Immunostimulant
Fungus/Mycosis,MDR-Efflux Pump Inhibitor
Fungus/Mycosis,Mycobactericide
Fungus/Mycosis,Mycolytic
Fungus/Mycosis,Mycoplasmicide
Fungus/Mycosis,Mycoplasmistat
Fungus/Mycosis,Tineacide
Giardia,Amebicide
Giardia,Anthelmintic
Giardia,Antiamebic
Giardia,Antibacterial
Giardia,Antibiotic
Giardia,Antidiarrheic
Giardia,Antigiardial
Giardia,Antiinfective
Giardia,Antiinflammatory
Giardia,Antimicrobial
Giardia,Antiseptic
Giardia,Astringent
Giardia,Bacteristat
Giardia,Disinfectant
Giardia,Gastroprotective
Giardia,Hepatoprotective
Giardia,Hepatotonic
Giardia,Protisticide
Giardia,Protististat
Gingivitis,Antibacterial
Gingivitis,Antibiotic
Gingivitis,Anticandidosis
Gingivitis,Antigingivitic
Gingivitis,Antiinflammatory
Gingivitis,Antioxidant
Gingivitis,Antiplaque
Gingivitis,Antiscorbutic
Gingivitis,Antiseptic
Gingivitis,Astringent
Gingivitis,COX-2-Inhibitor
Gingivitis,Candidicide
Gingivitis,Candidistat
Gingivitis,Collagenase-Inhibitor
Gingivitis,Cyclooxygenase-Inhibitor
Gingivitis,Elastase-Inhibitor
Gingivitis,Fungicide
Gingivitis,Immunostimulant
Gingivitis,Inhibit Interleukin 1b Production
Gingivitis,Inhibit Prostaglandin Synthase
Gingivitis,MDR-Inhibitor
Gingivitis,Vulnerary
Glaucoma,Alpha-Agonist
Glaucoma,AntiGraves
Glaucoma,Antianxiety
Glaucoma,Antidiabetic
Glaucoma,Antidyspeptic
Glaucoma,Antiglaucomic
Glaucoma,Antihistamine
Glaucoma,Antihistaminic
Glaucoma,Antiobesity
Glaucoma,Antioxidant
Glaucoma,Antistress
Glaucoma,Anxiolytic
Glaucoma,Beta-Blocker
Glaucoma,Calcium-Channel-Blocker
Glaucoma,Carbonic-Anhydrase-Inhibitor
Glaucoma,Glutamate-Antagonist
Glaucoma,Histamine-Inhibitor
Glaucoma,Hypotensive
Glaucoma,Natriuretic
Glaucoma,Neuroprotective
Glaucoma,Parasympathomimetic
Glaucoma,Serotonin-Agonist
Gout,Analgesic
Gout,Anesthetic
Gout,Antiedemic
Gout,Antigout
Gout,Antiinflammatory
Gout,Antinociceptive
Gout,Antipodagric
Gout,Antitubulin
Gout,COX-2-Inhibitor
Gout,Cyclooxygenase-Inhibitor
Gout,Glucose-6-Phosphatase-Stimulant
Gout,Hydrating
Gout,Hyperuricemic
Gout,HypoPurine Diet
Gout,Hypouricemic
Gout,Inhibit Microtubule-Formation
Gout,Inhibit Production of Uric Acid
Gout,Low Purine
Gout,Low Pyrimidine
Gout,Tubulin-Inhibitor
Gout,Urealytic
Gout,Uricosuric
Gout,Xanthine-Oxidase-Inhibitor
Halitosis,Antibacterial
Halitosis,Antibiotic
Halitosis,Anticandidosis
Halitosis,Antifungal
Halitosis,Antigingivitic
Halitosis,Antihalitosic
Halitosis,Antiplaque
Halitosis,Antiseptic
Halitosis,Antiyeast
Halitosis,Astringent
Halitosis,Bacteristat
Halitosis,Candidicide
Halitosis,Candidistat
Halitosis,Fungicide
Halitosis,Fungistat
Hangover,Analgesic
Hangover,Anesthetic
Hangover,Antiacid
Hangover,Antialcohol
Hangover,Antialcoholic
Hangover,Anticephalagic
Hangover,Antidote
Hangover,Antidyspeptic
Hangover,Antiemetic
Hangover,Antigastric
Hangover,Antigastritic
Hangover,Antigastrotic
Hangover,Antihangover
Hangover,Antihepatocarcinogenic
Hangover,Antihepatotoxic
Hangover,Antiinflammatory
Hangover,Antimigraine
Hangover,Antimyalgic
Hangover,Antinauseant
Hangover,Antineuralgic
Hangover,Antinociceptive
Hangover,Antioxidant
Hangover,Antipeptic
Hangover,Antiscorbutic
Hangover,Antispasmodic
Hangover,Antistress
Hangover,Arteriodilator
Hangover,Carminative
Hangover,Circulatory-Stimulant
Hangover,Demulcent
Hangover,Detoxicant
Hangover,Digestive
Hangover,Dopaminergic
Hangover,Endorphinogenic
Hangover,Gastric-Anesthetic
Hangover,Gastroprotective
Hangover,Gastrosedative
Hangover,Hepatoprotective
Hangover,Hepatoregenerative
Hangover,Hepatotonic
Hangover,Nervine
Hangover,Sedative
Hangover,Serotoninergic
Hangover,Sialogogue
Hangover,Tranquilizer
Hayfever,12-Lipoxygenase-Inhibitor
Hayfever,Analgesic
Hayfever,Anesthetic
Hayfever,Antiallergic
Hayfever,Antiasthmatic
Hayfever,Antibronchitic
Hayfever,Antibronchoconstrictor
Hayfever,Antidermatitic
Hayfever,Antiedemic
Hayfever,Antihistaminic
Hayfever,Antiinflammatory
Hayfever,Antiitch
Hayfever,Antinociceptive
Hayfever,Antioxidant
Hayfever,Antipharyngitic
Hayfever,Antiprostaglandin
Hayfever,Antipruritic
Hayfever,Antirhinitic
Hayfever,Antisinusitic
Hayfever,Antispasmodic
Hayfever,Antitussive
Hayfever,Asthma-preventive
Hayfever,Astringent
Hayfever,Bronchodilator
Hayfever,Bronchorelaxant
Hayfever,Bronchosedative
