AGGNO,CHEM,ACTIVITY,DOSAGE,REFERENCE,MAJORACT,USERID,CREATED,MODIFIED
132072,CAFFEIC-ACID,Choleretic,,411,,DUKE,10-Dec-97,
132073,CAFFEIC-ACID,Clastogenic,,JBH,,DUKE,10-Dec-97,
132074,CAFFEIC-ACID,Co-carcinogenic,,PCF:44,,DUKE,10-Dec-97,22-May-00
132075,CAFFEIC-ACID,DNA-Active,,JBH,,DUKE,10-Dec-97,
132076,CAFFEIC-ACID,Diuretic,,WIC,,DUKE,10-Dec-97,
132077,CAFFEIC-ACID,Fungicide,MIC=0.4 mg/ml,PC64:211 JE26:76,,DUKE,10-Dec-97,2-Oct-98
132078,CAFFEIC-ACID,Hepatoprotective,,ACM:210,,DUKE,10-Dec-97,
132079,CAFFEIC-ACID,Hepatotropic,,,,DUKE,10-Dec-97,
132080,CAFFEIC-ACID,Antihistaminic,,,,DUKE,10-Dec-97,27-Jul-99
132081,CAFFEIC-ACID,Insectifuge,,EB48:111,,DUKE,10-Dec-97,
132082,CAFFEIC-ACID,Antileukotriene,,,,DUKE,10-Dec-97,14-Feb-01
132083,CAFFEIC-ACID,Lipoxygenase-Inhibitor,IC27=5 mM,JAF38:688,,DUKE,10-Dec-97,
132084,CAFFEIC-ACID,Metal-Chelator,,PCF:25,,DUKE,10-Dec-97,
132085,CAFFEIC-ACID,Ornithine-Decarboxylase-Inhibitor,,PCF:19,,DUKE,10-Dec-97,
132086,CAFFEIC-ACID,Pesticide,,,,DUKE,10-Dec-97,
132087,CAFFEIC-ACID,Prostaglandigenic,,RWG27,,DUKE,10-Dec-97,2-Oct-98
132088,CAFFEIC-ACID,Sedative,500 mg,RWG17,,DUKE,10-Dec-97,2-Oct-98
132090,CAFFEIC-ACID,Sunscreen,IC50=2.5 mg/l,FT64:134,,DUKE,10-Dec-97,2-Oct-98
132091,CAFFEIC-ACID,Sunscreen,IC91=5 mg/l,FT64:134,,DUKE,10-Dec-97,2-Oct-98
132092,CAFFEIC-ACID,Sunscreen,IC98=25 mg/l,FT64:134,,DUKE,10-Dec-97,2-Oct-98
132093,CAFFEIC-ACID,Tumorigenic,,505,,DUKE,10-Dec-97,
132094,CAFFEIC-ACID,Antiviral,IC50=62.5 ug/ml,EMP5:253 AVR14:323,,DUKE,10-Dec-97,28-Jul-99
132095,CAFFEIC-ACID,Vulnerary,,JE26:76,,DUKE,10-Dec-97,2-Oct-98
132096,CAFFEINE,Analeptic,200 scu mus,BBE,,DUKE,10-Dec-97,
132097,CAFFEINE,Antiapneic,,M29,,DUKE,10-Dec-97,
132098,CAFFEINE,Antiasthmatic,5-10 mg/kg orl/man,M29,,DUKE,10-Dec-97,
132099,CAFFEINE,Anticarcinogenic,,PCF:305,,DUKE,10-Dec-97,
132100,CAFFEINE,Antidermatitic,,M29,,DUKE,10-Dec-97,
132101,CAFFEINE,Antiemetic,,411,,DUKE,10-Dec-97,
132102,CAFFEINE,Antifeedant,,382,,DUKE,10-Dec-97,
132103,CAFFEINE,Antiflu,,EMP5:198,,DUKE,10-Dec-97,
132104,CAFFEINE,Antiherpetic,,EMP5:201,,DUKE,10-Dec-97,
132105,CAFFEINE,Antihypotensive,250 mg/day/orl/man,M29,,DUKE,10-Dec-97,
132106,CAFFEINE,Antinarcotic,,411,,DUKE,10-Dec-97,
132107,CAFFEINE,Antiobesity,,PCF:305,,DUKE,10-Dec-97,
132108,CAFFEINE,Antioxidant,,PC27:974,,DUKE,10-Dec-97,
132109,CAFFEINE,Antirhinitic,140 mg/day/orl/man,M29,,DUKE,10-Dec-97,
132110,CAFFEINE,Antiserotonergic,40 ipr rat,BBE,,DUKE,10-Dec-97,15-Apr-99
132111,CAFFEINE,Antitumor,,PCF:305,,DUKE,10-Dec-97,
132112,CAFFEINE,Antivaccinia,,EMP5:201,,DUKE,10-Dec-97,
132113,CAFFEINE,Antiviral,,V&D,,DUKE,10-Dec-97,
132114,CAFFEINE,CNS-Stimulant,100 orl mus,BBE M11,,DUKE,10-Dec-97,
132115,CAFFEINE,CNS-Stimulant,30 orl rat,BBE M11,,DUKE,10-Dec-97,5-May-00
132116,CAFFEINE,Cancer-Preventive,,525,,DUKE,10-Dec-97,
132117,CAFFEINE,Cardiotonic,10-25 orl dog,BBE,,DUKE,10-Dec-97,15-Apr-99
132118,CAFFEINE,Cardiotonic,65-500 orl cat,BBE,,DUKE,10-Dec-97,
132119,CAFFEINE,Catabolic,,ABS,,DUKE,10-Dec-97,
132120,CAFFEINE,Choleretic,,,,DUKE,10-Dec-97,
132121,CAFFEINE,Diuretic,,M11 TEA,,DUKE,10-Dec-97,5-May-00
132122,CAFFEINE,Ergotamine-Enhancer,,M29,,DUKE,10-Dec-97,
132123,CAFFEINE,FLavor,FEMA 125,ARC,,DUKE,10-Dec-97,
132124,CAFFEINE,Herbicide,,500,,DUKE,10-Dec-97,
132125,CAFFEINE,Hypertensive,,LAW PAM,,DUKE,10-Dec-97,15-Apr-99
132126,CAFFEINE,Hypoglycemic,,EMP6:168,,DUKE,10-Dec-97,
132127,CAFFEINE,Insecticide,,382,,DUKE,10-Dec-97,
132128,CAFFEINE,Neurotoxic,,RJH,,DUKE,10-Dec-97,
132129,CAFFEINE,Pesticide,,,,DUKE,10-Dec-97,
132130,CAFFEINE,Respirastimulant,,M11 TEA,,DUKE,10-Dec-97,5-May-00
132131,CAFFEINE,Stimulant,,RJH,,DUKE,10-Dec-97,
132132,CAFFEINE,Teratogenic,14 orl rat,BBE,,DUKE,10-Dec-97,
132133,CAFFEINE,Vasodilator,,BRU,,DUKE,10-Dec-97,28-Jan-03
132135,CAFFEINE,cAMP-Phosphodiesterase-Inhibitor,,PAM,,DUKE,10-Dec-97,
132136,CAFFEINE,cGMP-Phosphodiesterase-Inhibitor,,PAM,,DUKE,10-Dec-97,
132137,CAFFEOYLMARIC-ACID,Antiallergic,,,,DUKE,10-Dec-97,
132138,CAFFEOYLMARIC-ACID,Antiinflammatory,,,,DUKE,10-Dec-97,
132139,CAFFEOYLMARIC-ACID,Antileukotriene,,JNP50:396.1987,,DUKE,10-Dec-97,14-Feb-01
132140,CAFFEOYLTARTARIC-ACID,Antiallergic,,,,DUKE,10-Dec-97,
132141,CAFFEOYLTARTARIC-ACID,Antiinflammatory,,,,DUKE,10-Dec-97,
132142,CAFFEOYLTARTARIC-ACID,Antileukotriene,,JNP50:396.1987,,DUKE,10-Dec-97,14-Feb-01
132143,CAJAMINOSE,Antisickling,,IWU,,DUKE,10-Dec-97,
132144,CAJANIN,Fungicide,ED50=<50-100,JLI JBH,,DUKE,10-Dec-97,
132145,CAJANIN,Pesticide,,,,DUKE,10-Dec-97,
132146,CAJANIN,Phytoalexin,,JBH,,DUKE,10-Dec-97,
132147,CAJANOL,Fungicide,ED50=<50,JLI JBH,,DUKE,10-Dec-97,
132148,CAJANOL,Pesticide,,,,DUKE,10-Dec-97,
132149,CAJANOL,Phytoalexin,,JBH,,DUKE,10-Dec-97,
132150,CAJANONE,Antiseptic,,,,DUKE,10-Dec-97,
132151,CAJANONE,Pesticide,,,,DUKE,10-Dec-97,
132152,CALABARINE,Spinal-Stimulant,,,,DUKE,10-Dec-97,
132153,CALACTIN,Cardioactive,,,,DUKE,10-Dec-97,
132154,CALAFATIMINE,Antitumor,,JBH,,DUKE,10-Dec-97,
132155,CALAXIN,Antitumor,,JBH,,DUKE,10-Dec-97,
132156,CALAXIN,Cytotoxic,,JBH,,DUKE,10-Dec-97,
132157,CALCIUM,AntiPMS,1 g/day,PIL WER,,DUKE,10-Dec-97,17-Aug-08
132158,CALCIUM,Antiallergic,500 mg/day,DAS WER,,DUKE,10-Dec-97,
132159,CALCIUM,Antianxiety,,DAS,,DUKE,10-Dec-97,
132160,CALCIUM,Antiatherosclerotic,500 mg/day,WER,,DUKE,10-Dec-97,
132161,CALCIUM,Antidepressant,,DAS,,DUKE,10-Dec-97,
132162,CALCIUM,Antidote (Aluminum),,DAS,,DUKE,10-Dec-97,
132163,CALCIUM,Antidote (Lead),,DAS,,DUKE,10-Dec-97,
132164,CALCIUM,Antihyperkinetic,,DAS,,DUKE,10-Dec-97,
132165,CALCIUM,Antiinsomniac,,DAS,,DUKE,10-Dec-97,
132166,CALCIUM,Antiosteoporotic,"500-2,000 mg/day",PIL WAF WER,,DUKE,10-Dec-97,17-Aug-08
132167,CALCIUM,Antiperiodontitic,750 mg/day,WER,,DUKE,10-Dec-97,22-May-03
132168,CALCIUM,Antitic,,DAS,,DUKE,10-Dec-97,
132169,CALCIUM,Hypocholesterolemic,500 mg/day,WER,,DUKE,10-Dec-97,22-May-03
132170,CALCIUM,Hypotensive,1 g/day,WER,,DUKE,10-Dec-97,
132171,CALCIUM-CITRATE,Antiallergic,500 mg/day,WER,,DUKE,10-Dec-97,
132172,CALCIUM-ELENOLATE,Antiviral,,V&D,,DUKE,10-Dec-97,
132173,CALEBASSINE,Curare,,JBH,,DUKE,10-Dec-97,
132174,CALEBASSINE,Neurotoxic,,JBH,,DUKE,10-Dec-97,
132175,CALEIN-A,Herbicide,IC25=50 uM,TOX,,DUKE,10-Dec-97,
132176,CALEIN-A,Pesticide,,,,DUKE,10-Dec-97,
132177,CALENDDULOSIDES,Antihyperlipidemic,,WIC,,DUKE,10-Dec-97,6-Jun-00
132178,CALENDDULOSIDES,CNS-Active,,WIC,,DUKE,10-Dec-97,
132179,CALENDDULOSIDES,Pesticide,,,,DUKE,10-Dec-97,
132180,CALLICARPONE,Pesticide,,,,DUKE,10-Dec-97,
132181,CALLICARPONE,Piscicide,,JBH,,DUKE,10-Dec-97,
132182,CALLIGONINE,Hypotensive,,JBH,,DUKE,10-Dec-97,
132183,CALMODULIN,Cancer-Preventive,,525,,DUKE,10-Dec-97,
132184,CALONYSTERONE,Juvabional,,RAA,,DUKE,10-Dec-97,
132185,CALONYSTERONE,Pesticide,,,,DUKE,10-Dec-97,
132186,CALOPHYLLIN-B,Antiinflammatory,,JBH,,DUKE,10-Dec-97,
132187,CALOPHYLLOID,Anticoagulant,,OMM,,DUKE,10-Dec-97,
132188,CALOPHYLLOLIDE,Anticoagulant,50 mg/kg,,,DUKE,10-Dec-97,
132189,CALOPHYLLOLIDE,Antiinflammatory,40 mg/kg ipr,,,DUKE,10-Dec-97,
132190,CALOPHYLLOLIDE,Bradycardic,,,,DUKE,10-Dec-97,
132191,CALOPHYLLOLIDE,Vasoconstrictor,,,,DUKE,10-Dec-97,
132192,CALOTOXIN,Cardioactive,,,,DUKE,10-Dec-97,
132193,CALOTROPIN,Antitumor,ED50=25 ppb,,,DUKE,10-Dec-97,
132194,CALOTROPIN,Cardioactive,,,,DUKE,10-Dec-97,
132195,CALOTROPIN,Proteolytic,,PC29(6):1763,,DUKE,10-Dec-97,
132196,CALPURNINE,Antiarrhythmic,,JBH,,DUKE,10-Dec-97,
132197,CALPURNINE,Hypotensive,,JBH,,DUKE,10-Dec-97,
132198,CALPURNINE,Piscicide,,JBH,,DUKE,10-Dec-97,
132199,CALPURNINE,Rodenticide,,JBH,,DUKE,10-Dec-97,
132200,CALYCANTHINE,Antihistaminic,ED=10 uM,PM55(7):648,,DUKE,10-Dec-97,27-Jul-99
132201,CALYCANTHINE,Calcium-Antagonist,ED+1 uM,PM55(7):648,,DUKE,10-Dec-97,
132202,CALYCANTHINE,Cardiodepressant,,M11,,DUKE,10-Dec-97,
132203,CALYCANTHINE,Convulsant,,OMM,,DUKE,10-Dec-97,
132204,CALYCANTHINE,Paralytic,,M11,,DUKE,10-Dec-97,
132205,CALYCANTHINE,Uterotonic,,JBH,,DUKE,10-Dec-97,
132206,CALYPTOSIDE,Hypoglycemic,,AEHD1:129,,DUKE,10-Dec-97,1-Jun-99
132207,CAMELLIATANNIN-A,AntiHIV,,PCF:181,,DUKE,10-Dec-97,
132208,CAMELLIDIN,Fungicide,,,,DUKE,10-Dec-97,
132209,CAMELLIDIN,Pesticide,,,,DUKE,10-Dec-97,
132210,CAMELLIDIN-I,Fungicide,,JBH,,DUKE,10-Dec-97,
132211,CAMELLIDIN-I,Pesticide,,,,DUKE,10-Dec-97,
132212,CAMELLIDIN-II,Antifeedant,,382,,DUKE,10-Dec-97,
132213,CAMELLIDIN-II,Fungicide,,JBH,,DUKE,10-Dec-97,
132214,CAMELLIDIN-II,Pesticide,,,,DUKE,10-Dec-97,
132215,CAMELLIIN-B,AntiHIV,EC50=4.8 ug/ml,PCF:181,,DUKE,10-Dec-97,
132216,CAMELLIIN-B,Antisarcomic,10 mg/kg,PCF:14,,DUKE,10-Dec-97,
132217,CAMELLIIN-B,Antitumor,10 mg/kg ipr mus,CPB38:1211,,DUKE,10-Dec-97,
132218,CAMELLIIN-B,Pesticide,,,,DUKE,10-Dec-97,
132219,CAMELLIN,Digitalic,,,,DUKE,10-Dec-97,
132220,CAMPTOTHECIN,Anticarcinomic,70 ppb,,,DUKE,10-Dec-97,
132221,CAMPTOTHECIN,Antiherpetic,,,,DUKE,10-Dec-97,
132222,CAMPTOTHECIN,Antileukemic,0.5-4 mg/kg,ACM:404,,DUKE,10-Dec-97,
132223,CAMPTOTHECIN,Antimelanomic,ED50=0.14 ug/ml,JE32:117,,DUKE,10-Dec-97,
132224,CAMPTOTHECIN,Antipsoriac,,,,DUKE,10-Dec-97,
132225,CAMPTOTHECIN,Antisarcomic,ED50=0.0095 ug/ml,JE32:117,,DUKE,10-Dec-97,
132226,CAMPTOTHECIN,Antitumor (Breast),ED50=0.043 ug/ml,JE32:117,,DUKE,10-Dec-97,
132227,CAMPTOTHECIN,Antitumor (Colon),ED50=0.047 ug/ml,JE32:117,,DUKE,10-Dec-97,
132228,CAMPTOTHECIN,Antitumor (Lung),ED50=0.024 ug/ml,JE32:117,,DUKE,10-Dec-97,
132229,CAMPTOTHECIN,Antiviral,,V&D,,DUKE,10-Dec-97,
132230,CAMPTOTHECIN,Insecticide,,,,DUKE,10-Dec-97,
132231,CAMPTOTHECIN,Interferonogenic,,EMP1:121,,DUKE,10-Dec-97,28-Jul-99
132232,CAMPTOTHECIN,Pesticide,,,,DUKE,10-Dec-97,
132233,CAMPTOTHIN-B,Xanthine-Oxidase-Inhibitor,IC50=12 uM,CPB38:1225,,DUKE,10-Dec-97,
132234,CANADINE,Hypotensive,,JBH,,DUKE,10-Dec-97,
132235,CANALICULATOL,Antiseptic,,PC32:1083,,DUKE,10-Dec-97,
132236,CANALICULATOL,Pesticide,,,,DUKE,10-Dec-97,
132237,CANALINE,Allelochemic,,438,,DUKE,10-Dec-97,
132238,CANALINE,Pesticide,,,,DUKE,10-Dec-97,
132239,CANAVANINE,Allelochemic,,438,,DUKE,10-Dec-97,
132240,CANAVANINE,Antifeedant,,382,,DUKE,10-Dec-97,
132241,CANAVANINE,Antiflu,,V&D,,DUKE,10-Dec-97,
132242,CANAVANINE,Antimetabolic,,AEHD1:163,,DUKE,10-Dec-97,25-Sep-99
132243,CANAVANINE,Antitumor,,AEHD1:163,,DUKE,10-Dec-97,25-Sep-99
132244,CANAVANINE,Antiviral,,V&D,,DUKE,10-Dec-97,
132245,CANAVANINE,Antibacterial,,,,DUKE,10-Dec-97,27-Jul-99
132246,CANAVANINE,Cytotoxic,,JBH,,DUKE,10-Dec-97,
132247,CANAVANINE,Fungicide,,,,DUKE,10-Dec-97,
132248,CANAVANINE,Herbicide,,JBH,,DUKE,10-Dec-97,
132249,CANAVANINE,Juvabional,,382,,DUKE,10-Dec-97,
132250,CANAVANINE,Lupus-Generating,,M11,,DUKE,10-Dec-97,
132251,CANAVANINE,Mitogenic,,52,,DUKE,10-Dec-97,
132252,CANAVANINE,Pesticide,,,,DUKE,10-Dec-97,
132253,CANBISOL,Antihypertensive,,,,DUKE,10-Dec-97,
132254,CANDICANDIOL,Antibacterial,,,,DUKE,10-Dec-97,27-Jul-99
132255,CANDICANDIOL,Cytostatic,ID50=10 ug/ml,PM56(1):70,,DUKE,10-Dec-97,
132256,CANDICANDIOL,Pesticide,,,,DUKE,10-Dec-97,
132257,CANDICINE,Curare,,JBH,,DUKE,10-Dec-97,
132258,CANDICINE,Epileptigenic,,JE38:1,,DUKE,10-Dec-97,
132259,CANDICINE,Hypertensive,,JBH,,DUKE,10-Dec-97,
132260,CANDICINE,Nicotinic,,JBH,,DUKE,10-Dec-97,
132261,CANDLETOXIN-A,Toxic,,JBH,,DUKE,10-Dec-97,
132262,CANELIAL,Antibiotic,,JBH,,DUKE,10-Dec-97,
132263,CANELIAL,Pesticide,,,,DUKE,10-Dec-97,
132264,CANESCINE,Hypotensive,,,,DUKE,10-Dec-97,
132265,CANESCINE,Tranquilizer,,,,DUKE,10-Dec-97,
132266,CANIN,Antiaggregant,,EMP5:334,,DUKE,10-Dec-97,
132267,CANIN,Antifeedant,,JBH,,DUKE,10-Dec-97,
132268,CANIN,Antitumor,,JBH,,DUKE,10-Dec-97,
132269,CANIN,Cytotoxic,,JBH,,DUKE,10-Dec-97,
132270,CANIN,Pesticide,,,,DUKE,10-Dec-97,
132271,CANNABICHROMENE,Antiinflammatory,,JBH,,DUKE,10-Dec-97,
132272,CANNABIDIOL,Analgesic,,,,DUKE,10-Dec-97,
132273,CANNABIDIOL,Anticonvulsant,,,,DUKE,10-Dec-97,
132274,CANNABIDIOL,Antiepileptic,,M29(P.1090),,DUKE,10-Dec-97,
132275,CANNABIDIOL,Antihepatometabolic,,CPB38:1365,,DUKE,10-Dec-97,
132276,CANNABIDIOL,Antiinflammatory,,411,,DUKE,10-Dec-97,
132277,CANNABIDIOL,Antiseptic,,JBH,,DUKE,10-Dec-97,
132278,CANNABIDIOL,Antibacterial,,JBH,,DUKE,10-Dec-97,27-Jul-99
132279,CANNABIDIOL,Pesticide,,,,DUKE,10-Dec-97,
132280,CANNABIDIOLIC-ACID,Antibiotic,,,,DUKE,10-Dec-97,
132281,CANNABIDIOLIC-ACID,Pesticide,,,,DUKE,10-Dec-97,
132282,CANNABIDIOLIC-ACID,Sedative,,JBH,,DUKE,10-Dec-97,
132283,CANNABIGEROL,Antibiotic,,,,DUKE,10-Dec-97,
132284,CANNABIGEROL,Antiinflammatory,,411,,DUKE,10-Dec-97,
132285,CANNABIGEROL,Pesticide,,,,DUKE,10-Dec-97,
132286,CANNABIGEROLIC-ACID,Antibiotic,,,,DUKE,10-Dec-97,
132287,CANNABIGEROLIC-ACID,Pesticide,,,,DUKE,10-Dec-97,
132288,CANNABINOL,Anesthetic,,,,DUKE,10-Dec-97,
132289,CANNABINOL,Hallucinogenic,,52,,DUKE,10-Dec-97,
132290,CANNABINOL,Sedative,ED=200,MPI,,DUKE,10-Dec-97,
132291,CANNELAL,Antifeedant,,,,DUKE,10-Dec-97,
132292,CANNELAL,Antiseptic,,411,,DUKE,10-Dec-97,
132293,CANNELAL,Fungicide,,JNP43:407,,DUKE,10-Dec-97,
132294,CANNELAL,Pesticide,,,,DUKE,10-Dec-97,
132295,CANNFLAVIN,Antiinflammatory,,,,DUKE,10-Dec-97,
132296,CANNFLAVIN,Antiprostaglandin,,,,DUKE,10-Dec-97,22-May-00
132297,CANNIPRENE,Antiinflammatory,IC50=90 mM,PM56(6):662,,DUKE,10-Dec-97,
132298,CANNIPRENE,Lipoxygenase-Inhibitor,IC50=15 uM,PM56(6):662,,DUKE,10-Dec-97,
132299,CANTALASAPONIN-1,Anticarcinomic(Cervix),,,,DUKE,10-Dec-97,
132300,CANTALASAPONIN-1,Cytotoxic,,,,DUKE,10-Dec-97,
132301,CANTALASAPONIN-2,Molluscicide,,,,DUKE,10-Dec-97,
132302,CANTALASAPONIN-2,Pesticide,,,,DUKE,10-Dec-97,
132303,CANTALASAPONIN-2,Schistosomicide,,,,DUKE,10-Dec-97,
132304,CANTHAXANTHIN,Antimutagenic,,EMP6:235,,DUKE,10-Dec-97,
132305,CANTHAXANTHIN,Food Dye,,,,DUKE,10-Dec-97,
132306,CANTHAXANTHIN,Retinopathogenic,,M29,,DUKE,10-Dec-97,
132307,CANTHAXANTHIN,Suntan,,M29,,DUKE,10-Dec-97,
132308,CANTHIN-6-ONE,Antileukemic,,,,DUKE,10-Dec-97,
132309,CANTHIN-6-ONE,Antimycotic,,,,DUKE,10-Dec-97,
132310,CANTHIN-6-ONE,Antiseptic,,ISA14:93,,DUKE,10-Dec-97,
132311,CANTHIN-6-ONE,Antibacterial,MIC=12.5-75 ug/ml,526,,DUKE,10-Dec-97,27-Jul-99
132312,CANTHIN-6-ONE,Cytotoxic,IC50=1-6 ug/ml,526,,DUKE,10-Dec-97,
132313,CANTHIN-6-ONE,Fungicide,,JNP49:428.1986,,DUKE,10-Dec-97,
132314,CANTHIN-6-ONE,Pesticide,,,,DUKE,10-Dec-97,
132315,CANTHIN-6-ONE,cAMP-Inhibitor,,526,,DUKE,10-Dec-97,
132316,CANTHIUMINE,Antibacterial,,JBH,,DUKE,10-Dec-97,27-Jul-99
132317,CANTHIUMINE,Pesticide,,,,DUKE,10-Dec-97,
132318,CAPAURINE,Uterotonic,,JBH,,DUKE,10-Dec-97,
132319,CAPILLARIN,Antifeedant,,382,,DUKE,10-Dec-97,
132320,CAPILLARIN,Pesticide,,,,DUKE,10-Dec-97,
132321,CAPILLARISIN,Choleretic,70 mg/kg ipr,CCO,,DUKE,10-Dec-97,
132322,CAPILLARISIN,Hepatoprotective,,ACM:210,,DUKE,10-Dec-97,
132323,CAPILLARTEMISIN-A,Choleretic,,FT5:1986,,DUKE,10-Dec-97,
132324,CAPILLARTEMISIN-B,Choleretic,,FT5:1986,,DUKE,10-Dec-97,
132325,CAPILLIN,Antifeedant,,382,,DUKE,10-Dec-97,
132326,CAPILLIN,Antiplaque,,,,DUKE,10-Dec-97,
132327,CAPILLIN,Antibacterial,,,,DUKE,10-Dec-97,27-Jul-99
132328,CAPILLIN,Fungicide,,JBH,,DUKE,10-Dec-97,
132329,CAPILLIN,Pesticide,,,,DUKE,10-Dec-97,
132330,CAPNOIDINE,Antitrypanosomic,200 mg/kg,NIG,,DUKE,10-Dec-97,26-May-00
132331,CAPRIC-ACID,Fungicide,,,,DUKE,10-Dec-97,
132332,CAPRIC-ACID,Irritant,,M&R503,,DUKE,10-Dec-97,16-Feb-99
132333,CAPRIC-ACID,Pesticide,,,,DUKE,10-Dec-97,
132334,CAPROIC-ACID,Irritant,,M&R503,,DUKE,10-Dec-97,16-Feb-99
132335,CAPRYLIC-ACID,Candidicide,300 mg/man/12 x/day,CPA PIL,,DUKE,10-Dec-97,17-Aug-08
132336,CAPRYLIC-ACID,Fungicide,,M11 PIL,,DUKE,10-Dec-97,17-Aug-08
132337,CAPRYLIC-ACID,Irritant,,M&R503,,DUKE,10-Dec-97,30-Apr-99
132338,CAPRYLIC-ACID,Pesticide,,,,DUKE,10-Dec-97,
132339,CAPRYLIC-ACID-METHYL-ESTER,Insectifuge,,EB48:111,,DUKE,10-Dec-97,
132340,CAPRYLIC-ACID-METHYL-ESTER,Pesticide,,,,DUKE,10-Dec-97,
132341,CAPSAICIN,5-Lipoxygenase-Inhibitor,,AAA31:329,,DUKE,10-Dec-97,
132342,CAPSAICIN,Analgesic,,411,,DUKE,10-Dec-97,
132343,CAPSAICIN,Anaphylactic,,PMP24:118,,DUKE,10-Dec-97,
132344,CAPSAICIN,Anesthetic,,M29,,DUKE,10-Dec-97,
132345,CAPSAICIN,Antiaggregant,,AAA31:338,,DUKE,10-Dec-97,
132346,CAPSAICIN,Anticolonospasmic,0.003 ivn gpg,BBE,,DUKE,10-Dec-97,
132347,CAPSAICIN,Antiinflammatory,,AAA31:329,,DUKE,10-Dec-97,
132348,CAPSAICIN,Antimastalgic,,WER,,DUKE,10-Dec-97,
132349,CAPSAICIN,Antineuralgic,,M11,,DUKE,10-Dec-97,
132350,CAPSAICIN,Antineuritic,,WER,,DUKE,10-Dec-97,
132351,CAPSAICIN,Antinitrosaminic,,ABS,,DUKE,10-Dec-97,
132352,CAPSAICIN,Antinociceptive,,TiPS11:333.1990,,DUKE,10-Dec-97,
132353,CAPSAICIN,Antioxidant,,PCF:75,,DUKE,10-Dec-97,
132354,CAPSAICIN,Antipsoriatic,,WER,,DUKE,10-Dec-97,
132355,CAPSAICIN,Antiseptic,,IWU,,DUKE,10-Dec-97,
132356,CAPSAICIN,Antiulcer,,TiPS11:333.1990,,DUKE,10-Dec-97,
132357,CAPSAICIN,Cancer-Preventive,,525,,DUKE,10-Dec-97,
132358,CAPSAICIN,Carcinogenic,,,,DUKE,10-Dec-97,
132359,CAPSAICIN,Cardiotonic,,FT61:266,,DUKE,10-Dec-97,
132360,CAPSAICIN,Catabolic,,ABS,,DUKE,10-Dec-97,
132361,CAPSAICIN,Cyclooxygenase-Inhibitor,,AAA31:329,,DUKE,10-Dec-97,
132362,CAPSAICIN,Diaphoretic,,PJB1(1):170,,DUKE,10-Dec-97,30-Apr-99
132363,CAPSAICIN,Digestive,,IWU,,DUKE,10-Dec-97,
132364,CAPSAICIN,Endocrinactive,50 mg/kg scu rat,BBE,,DUKE,10-Dec-97,
132365,CAPSAICIN,FLavor,0.009-10,ARC,,DUKE,10-Dec-97,
132366,CAPSAICIN,Hypothermic,7 mg/kg,JE32:74,,DUKE,10-Dec-97,
132367,CAPSAICIN,Irritant,,M11 RIN,,DUKE,10-Dec-97,6-Jan-01
132368,CAPSAICIN,Neurotoxic,,FT61:266.1990,,DUKE,10-Dec-97,
132369,CAPSAICIN,Pesticide,,,,DUKE,10-Dec-97,
132370,CAPSAICIN,Repellent,,,,DUKE,10-Dec-97,
132371,CAPSAICIN,Respirasensitizer,,,,DUKE,10-Dec-97,
132372,CAPSAICIN,Rubefacient,,IWU,,DUKE,10-Dec-97,
132373,CAPSAICIN,Sialogogue,,PJB1(1):170,,DUKE,10-Dec-97,30-Apr-99
132374,CAPSAICIN,Antispasmodic,,IWU,,DUKE,10-Dec-97,28-Jul-99
132375,CAPSAICIN,Vasodilator,,IWU,,DUKE,10-Dec-97,
132376,CAPSAICINOL,Antioxidant,,PCF:78,,DUKE,10-Dec-97,
132377,CAPSAICINOL,Pesticide,,,,DUKE,10-Dec-97,
132378,CAPSANTHIN,Colorant,,JBH,,DUKE,10-Dec-97,
132379,CAPSIANOSIDES,ACE-Inhibitor,,CPB38:1305,,DUKE,10-Dec-97,
132380,CAPSICODENDRIN,Cytotoxic,ED50=2.9,,,DUKE,10-Dec-97,
132381,CAPSIDIN,Antiseptic,,411,,DUKE,10-Dec-97,
132382,CAPSIDIN,Pesticide,,,,DUKE,10-Dec-97,
132383,CAPSIDIOL,Fungicide,,JE26:75,,DUKE,10-Dec-97,8-Jul-99
132384,CAPSIDIOL,Pesticide,,,,DUKE,10-Dec-97,
132385,CAPSIDIOL,Phytoalexin,,PC29(2):479,,DUKE,10-Dec-97,
132386,CAPSORUBIN,Colorant,,JBH,,DUKE,10-Dec-97,
132387,CARABRONE,Allergenic,,AEH,,DUKE,10-Dec-97,
132388,CARACURINE,Antiseptic,,,,DUKE,10-Dec-97,
132389,CARACURINE,Myorelaxant,,JE28:39,,DUKE,10-Dec-97,
132390,CARACURINE,Pesticide,,,,DUKE,10-Dec-97,
132391,CARAJURINE,Dye,,GMJ,,DUKE,10-Dec-97,
132392,CARAJURONE,Dye,,GMJ,,DUKE,10-Dec-97,
132393,CARAN-3BETA-OL,Antiencephalitic,,EMP5:195,,DUKE,10-Dec-97,
132394,CARAN-3BETA-OL,Antiflu,,EMP5:195,,DUKE,10-Dec-97,
132395,CARAN-3BETA-OL,Antiherpetic,,EMP5:195,,DUKE,10-Dec-97,
132396,CARAN-3BETA-OL,Pesticide,,,,DUKE,10-Dec-97,
132397,CARAN-3BETA-OL,Antiviral,,EMP5:195,,DUKE,10-Dec-97,28-Jul-99
132398,CARANINE,Analgesic,,JBH,,DUKE,10-Dec-97,
